证券代码,公司上市日期,公司成立日期,公司全称,上市市场编码,行业代码,行业名称,省份,城市
000001,1991-04-03,1987-12-22,平安银行股份有限公司,SZSE,J66,货币金融服务,广东省,深圳市
000002,1991-01-29,1988-11-01,万科企业股份有限公司,SZSE,K70,房地产业,广东省,深圳市
000003,1991-07-03,1988-02-08,金田实业(集团)股份有限公司,SZSE,S90,综合,广东省,深圳市
000004,1991-01-14,1986-05-05,深圳国华网安科技股份有限公司,SZSE,I65,软件和信息技术服务业,广东省,深圳市
000005,1990-12-10,1990-02-01,深圳世纪星源股份有限公司,SZSE,N77,生态保护和环境治理业,广东省,深圳市
000006,1992-04-27,1989-04-01,深圳市振业(集团)股份有限公司,SZSE,K70,房地产业,广东省,深圳市
000007,1992-04-13,1988-11-21,深圳市全新好股份有限公司,SZSE,K70,房地产业,广东省,深圳市
000008,1992-05-07,1989-10-11,神州高铁技术股份有限公司,SZSE,C37,铁路、船舶、航空航天和其它运输设备制造业,北京市,北京市
000009,1991-06-25,1990-09-01,中国宝安集团股份有限公司,SZSE,S90,综合,广东省,深圳市
000011,1992-03-30,1983-01-17,深圳市物业发展(集团)股份有限公司,SZSE,K70,房地产业,广东省,深圳市
000012,1992-02-28,1984-09-10,中国南玻集团股份有限公司,SZSE,C30,非金属矿物制品业,广东省,深圳市
000013,1992-05-06,1992-03-18,深圳石化工业集团股份有限公司,SZSE,F51,批发业,广东省,深圳市
000014,1992-06-02,1992-04-21,沙河实业股份有限公司,SZSE,K70,房地产业,广东省,深圳市
000016,1992-03-27,1980-10-01,康佳集团股份有限公司,SZSE,C39,计算机、通信和其他电子设备制造业,广东省,深圳市
000017,1992-03-31,1992-03-12,深圳中华自行车(集团)股份有限公司,SZSE,C37,铁路、船舶、航空航天和其它运输设备制造业,广东省,深圳市
000018,1992-06-16,1992-05-09,神州长城股份有限公司,SZSE,E50,建筑装饰和其他建筑业,广东省,深圳市
000019,1992-10-12,1992-08-06,深圳市深粮控股股份有限公司,SZSE,F51,批发业,广东省,深圳市
000020,1992-04-28,1992-03-20,深圳中恒华发股份有限公司,SZSE,C39,计算机、通信和其他电子设备制造业,广东省,深圳市
000021,1994-02-02,1993-12-29,深圳长城开发科技股份有限公司,SZSE,C39,计算机、通信和其他电子设备制造业,广东省,深圳市
000024,1993-06-07,1993-04-10,招商局地产控股股份有限公司,SZSE,K70,房地产业,广东省,深圳市
000025,1993-06-21,1993-04-18,深圳市特力(集团)股份有限公司,SZSE,F51,批发业,广东省,深圳市
000026,1993-06-03,1993-04-18,飞亚达精密科技股份有限公司,SZSE,F52,零售业,广东省,深圳市
000027,1993-09-03,1993-06-02,深圳能源集团股份有限公司,SZSE,D44,电力、热力生产和供应业,广东省,深圳市
000029,1993-09-15,1993-08-15,深圳经济特区房地产(集团)股份有限公司,SZSE,K70,房地产业,广东省,深圳市
000030,1993-09-29,1993-08-28,富奥汽车零部件股份有限公司,SZSE,C36,汽车制造业,吉林省,长春市
000031,1993-10-08,1993-09-26,大悦城控股集团股份有限公司,SZSE,K70,房地产业,广东省,深圳市
000032,1993-10-28,1993-09-26,深圳市桑达实业股份有限公司,SZSE,E49,建筑安装业,广东省,深圳市
000033,1994-01-03,1993-11-15,深圳新都酒店股份有限公司,SZSE,H61,住宿业,广东省,深圳市
000034,1994-05-09,1993-12-18,神州数码集团股份有限公司,SZSE,F51,批发业,广东省,深圳市
000035,1994-04-08,1994-01-08,中国天楹股份有限公司,SZSE,N77,生态保护和环境治理业,江苏省,南通市
000037,1994-07-01,1994-04-19,深圳南山热电股份有限公司,SZSE,D44,电力、热力生产和供应业,广东省,深圳市
000038,1994-08-08,1994-02-02,深圳大通实业股份有限公司,SZSE,L72,商务服务业,广东省,深圳市
000039,1994-03-23,1992-09-30,中国国际海运集装箱(集团)股份有限公司,SZSE,C33,金属制品业,广东省,深圳市
000040,1994-08-08,1994-06-15,东旭蓝天新能源股份有限公司,SZSE,D44,电力、热力生产和供应业,广东省,深圳市
000042,1994-09-21,1994-09-13,深圳市中洲投资控股股份有限公司,SZSE,K70,房地产业,广东省,深圳市
000045,1994-08-15,1994-08-06,深圳市纺织(集团)股份有限公司,SZSE,C39,计算机、通信和其他电子设备制造业,广东省,深圳市
000046,1994-09-12,1989-01-04,泛海控股股份有限公司,SZSE,J69,其他金融业,北京市,北京市
000048,1994-11-01,1994-09-17,深圳市京基智农时代股份有限公司,SZSE,C13,农副食品加工业,广东省,深圳市
000049,1995-03-20,1995-02-18,深圳市德赛电池科技股份有限公司,SZSE,C38,电气机械及器材制造业,广东省,深圳市
000050,1995-03-15,1995-02-26,天马微电子股份有限公司,SZSE,C39,计算机、通信和其他电子设备制造业,广东省,深圳市
000055,1995-11-29,1994-03-31,方大集团股份有限公司,SZSE,C33,金属制品业,广东省,深圳市
000056,1995-10-30,1993-03-18,深圳市皇庭国际企业股份有限公司,SZSE,L72,商务服务业,广东省,深圳市
000058,1996-07-22,1996-07-16,深圳赛格股份有限公司,SZSE,L72,商务服务业,广东省,深圳市
000060,1997-01-23,1994-06-06,深圳市中金岭南有色金属股份有限公司,SZSE,C32,有色金属冶炼及压延加工业,广东省,深圳市
000061,1997-01-10,1994-01-19,深圳市农产品集团股份有限公司,SZSE,L72,商务服务业,广东省,深圳市
000062,1997-01-30,1994-01-19,深圳华强实业股份有限公司,SZSE,F51,批发业,广东省,深圳市
000063,1997-11-18,1997-11-11,中兴通讯股份有限公司,SZSE,C39,计算机、通信和其他电子设备制造业,广东省,深圳市
000065,1998-06-05,1984-12-01,北方国际合作股份有限公司,SZSE,E48,土木工程建筑业,北京市,北京市
000066,1997-06-26,1997-06-21,中国长城科技集团股份有限公司,SZSE,C39,计算机、通信和其他电子设备制造业,广东省,深圳市
000068,1997-06-11,1997-06-06,深圳华控赛格股份有限公司,SZSE,M74,专业技术服务业,广东省,深圳市
000069,1997-09-10,1997-09-02,深圳华侨城股份有限公司,SZSE,K70,房地产业,广东省,深圳市
000070,2000-05-11,1997-07-29,深圳市特发信息股份有限公司,SZSE,C38,电气机械及器材制造业,广东省,深圳市
000078,1998-12-18,1992-12-13,深圳市海王生物工程股份有限公司,SZSE,F52,零售业,广东省,深圳市
000088,1997-07-28,1997-07-21,深圳市盐田港股份有限公司,SZSE,G54,道路运输业,广东省,深圳市
000090,1999-07-21,1993-12-06,深圳市天健(集团)股份有限公司,SZSE,E48,土木工程建筑业,广东省,深圳市
000096,2000-07-24,1999-02-18,深圳市广聚能源股份有限公司,SZSE,F51,批发业,广东省,深圳市
000099,2000-07-31,1999-02-11,中信海洋直升机股份有限公司,SZSE,G56,航空运输业,广东省,深圳市
000100,2004-01-30,2002-04-19,TCL科技集团股份有限公司,SZSE,C39,计算机、通信和其他电子设备制造业,广东省,惠州市
000150,2000-08-07,1993-02-19,宜华健康医疗股份有限公司,SZSE,Q83,卫生,广东省,汕头市
000151,2000-09-06,1999-03-01,中成进出口股份有限公司,SZSE,F51,批发业,北京市,北京市
000153,2000-09-20,1997-08-30,安徽丰原药业股份有限公司,SZSE,C27,医药制造业,安徽省,芜湖市
000157,2000-10-12,1999-08-01,中联重科股份有限公司,SZSE,C35,专用设备制造业,湖南省,长沙市
000158,2000-07-24,1998-12-29,石家庄常山北明科技股份有限公司,SZSE,I65,软件和信息技术服务业,河北省,石家庄市
000159,2000-09-26,1999-03-28,新疆国际实业股份有限公司,SZSE,F51,批发业,新疆维吾尔自治区,乌鲁木齐市
000166,2015-01-26,1996-09-16,申万宏源集团股份有限公司,SZSE,J67,资本市场服务,新疆维吾尔自治区,乌鲁木齐市
000301,2000-05-29,1998-07-16,江苏东方盛虹股份有限公司,SZSE,C28,化学纤维制造业,江苏省,苏州市
000333,2013-09-18,2000-04-07,美的集团股份有限公司,SZSE,C38,电气机械及器材制造业,广东省,佛山市
000338,2004-03-11,2002-12-23,潍柴动力股份有限公司,SZSE,C36,汽车制造业,山东省,潍坊市
000401,1996-06-14,1994-05-08,唐山冀东水泥股份有限公司,SZSE,C30,非金属矿物制品业,河北省,唐山市
000402,1996-06-26,1995-11-08,金融街控股股份有限公司,SZSE,K70,房地产业,北京市,北京市
000404,1996-06-19,1994-06-16,长虹华意压缩机股份有限公司,SZSE,C34,通用设备制造业,江西省,景德镇市
000405,1996-06-20,1992-08-10,珠海鑫光集团股份有限公司,SZSE,C32,有色金属冶炼及压延加工业,广东省,珠海市
000407,1996-07-03,1994-05-11,山东胜利股份有限公司,SZSE,D45,燃气生产和供应业,山东省,济南市
000408,1996-06-28,1996-06-25,藏格控股股份有限公司,SZSE,C26,化学原料及化学制品制造业,青海省,格尔木市
000410,1996-07-18,1993-05-20,沈阳机床股份有限公司,SZSE,C34,通用设备制造业,辽宁省,沈阳市
000411,1996-07-16,1993-04-01,浙江英特集团股份有限公司,SZSE,F51,批发业,浙江省,杭州市
000413,1996-07-08,1992-12-26,东旭光电科技股份有限公司,SZSE,C39,计算机、通信和其他电子设备制造业,河北省,石家庄市
000415,1996-07-16,1993-06-30,渤海租赁股份有限公司,SZSE,L71,租赁业,新疆维吾尔自治区,乌鲁木齐市
000416,1996-07-19,1993-06-12,民生控股股份有限公司,SZSE,J69,其他金融业,山东省,青岛市
000418,1996-07-18,1993-11-29,无锡小天鹅股份有限公司,SZSE,C38,电气机械及器材制造业,江苏省,无锡市
000421,1996-08-06,1992-07-10,南京公用发展股份有限公司,SZSE,D45,燃气生产和供应业,江苏省,南京市
000422,1996-08-15,1992-12-24,湖北宜化化工股份有限公司,SZSE,C26,化学原料及化学制品制造业,湖北省,宜昌市
000423,1996-07-29,1993-05-28,东阿阿胶股份有限公司,SZSE,C27,医药制造业,山东省,聊城市
000425,1996-08-28,1993-12-15,徐工集团工程机械股份有限公司,SZSE,C35,专用设备制造业,江苏省,徐州市
000426,1996-08-28,1994-02-18,内蒙古兴业矿业股份有限公司,SZSE,B09,有色金属矿采选业,内蒙古自治区,赤峰市
000428,1996-08-08,1995-09-27,华天酒店集团股份有限公司,SZSE,H61,住宿业,湖南省,长沙市
000429,1996-08-15,1993-10-21,广东省高速公路发展股份有限公司,SZSE,G54,道路运输业,广东省,广州市
000430,1996-08-29,1992-12-19,张家界旅游集团股份有限公司,SZSE,N78,公共设施管理业,湖南省,张家界市
000488,1997-05-26,1993-05-05,山东晨鸣纸业集团股份有限公司,SZSE,C22,造纸及纸制品业,山东省,寿光市
000498,1997-06-09,1993-12-22,山东高速路桥集团股份有限公司,SZSE,E48,土木工程建筑业,山东省,济南市
000501,1992-11-20,1992-07-01,武汉武商集团股份有限公司,SZSE,F52,零售业,湖北省,武汉市
000502,1992-11-23,1991-05-18,绿景控股股份有限公司,SZSE,K70,房地产业,广东省,广州市
000503,1992-11-30,1991-09-26,国新健康保障服务集团股份有限公司,SZSE,I64,互联网和相关服务,海南省,海口市
000505,1992-12-21,1988-03-22,海南京粮控股股份有限公司,SZSE,C13,农副食品加工业,海南省,海口市
000506,1993-03-12,1988-06-01,中润资源投资股份有限公司,SZSE,B09,有色金属矿采选业,山东省,济南市
000507,1993-03-26,1989-01-01,珠海港股份有限公司,SZSE,G55,水上运输业,广东省,珠海市
000509,1993-05-07,1990-10-18,华塑控股股份有限公司,SZSE,Q83,卫生,四川省,南充市
000513,1993-07-20,1992-03-01,丽珠医药集团股份有限公司,SZSE,C27,医药制造业,广东省,珠海市
000517,1993-08-06,1993-03-28,荣安地产股份有限公司,SZSE,K70,房地产业,浙江省,宁波市
