证券代码,证券简称,统计截止日期,总资产,总负债,净资产,净利润,营业总收入,资产负债率
000001,平安银行,2016-12-31,2.95343E+12,2.75126E+12,2.02171E+11,22599000000,1.04416E+11,0.9315
000001,平安银行,2017-12-31,3.24847E+12,3.02642E+12,2.22054E+11,23189000000,1.04869E+11,0.9316
000001,平安银行,2018-12-31,3.41859E+12,3.17855E+12,2.40042E+11,24818000000,1.06212E+11,0.9298
000001,平安银行,2019-12-31,3.93907E+12,3.62609E+12,3.12983E+11,28195000000,1.26814E+11,0.9205
000001,平安银行,2020-12-31,4.46851E+12,4.10438E+12,3.64131E+11,28928000000,1.43242E+11,0.9185
000002,万科A,2016-12-31,8.30674E+11,6.68998E+11,1.61677E+11,28350255481,2.40477E+11,0.8054
000002,万科A,2017-12-31,1.16535E+12,9.78673E+11,1.86674E+11,37208387330,2.42897E+11,0.8398
000002,万科A,2018-12-31,1.52858E+12,1.29296E+12,2.35621E+11,49272294535,2.97679E+11,0.8459
000002,万科A,2019-12-31,1.72993E+12,1.45935E+12,2.70579E+11,55131614572,3.67894E+11,0.8436
000002,万科A,2020-12-31,1.86918E+12,1.51933E+12,3.49844E+11,59298116445,4.19112E+11,0.8128
000004,国华网安,2016-12-31,223716293,45516490.93,178199802.1,39716316.22,287670026.6,0.2035
000004,国华网安,2017-12-31,268844295.6,84752252.15,184092043.5,5892241.41,138605842,0.3152
000004,国华网安,2018-12-31,351177470.2,167850868.4,183326601.7,-21612682.1,366868804.7,0.478
000004,国华网安,2019-12-31,1494490266,90033219.05,1404457047,-3603992.92,108246697.3,0.0602
000004,国华网安,2020-12-31,1563562871,106734607.5,1456828263,61990293.98,280531008.2,0.0683
000005,ST 星源,2016-12-31,2527235374,1171900473,1355334901,116962419.9,481863433.3,0.4637
000005,ST 星源,2017-12-31,2912099984,1507732076,1404367908,22935991.94,530922230.5,0.5177
000005,ST 星源,2018-12-31,3121423379,1542107808,1579315571,156748626.1,486180975.8,0.494
000005,ST 星源,2019-12-31,3031840976,1289555472,1742285504,178498643.5,552609080.6,0.4253
000005,ST 星源,2020-12-31,2468377464,1135674273,1332703191,-386796160.8,398921057.7,0.4601
000006,深振业A,2016-12-31,13170385530,8040509904,5129875626,803876525.5,3358826446,0.6105
000006,深振业A,2017-12-31,13139931309,7432572286,5707359023,820482505.6,2959450244,0.5656
000006,深振业A,2018-12-31,13536728185,7150590829,6386137356,923127396.2,2511844429,0.5282
000006,深振业A,2019-12-31,15745320851,8575092305,7170228546,843064948.9,3731330140,0.5446
000006,深振业A,2020-12-31,15434760023,7596761856,7837998168,902890101.9,2934733295,0.4922
000007,*ST 全新,2016-12-31,514367695.1,77135641.4,437232053.7,81567961.1,38860398.61,0.15
000007,*ST 全新,2017-12-31,442675593,52248511.41,390427081.6,795055.38,39644011.95,0.118
000007,*ST 全新,2018-12-31,544709995.5,350483115.4,194226880.1,-196200201.5,42443842.1,0.6434
000007,*ST 全新,2019-12-31,533693420.9,320889069.8,212804351.1,22229071,42020841.81,0.6013
000007,*ST 全新,2020-12-31,364394022.6,296592037.5,67801985.1,-123038366,45146397.44,0.8139
000008,神州高铁,2016-12-31,8192656626,2020170574,6172486051,530541641.4,1876006502,0.2466
000008,神州高铁,2017-12-31,10678315230,3491262206,7187053024,889609890.1,2330932161,0.3269
000008,神州高铁,2018-12-31,10466364830,3061512835,7404851995,341889698.1,2564901270,0.2925
000008,神州高铁,2019-12-31,12044543143,4468062798,7576480345,457416661.6,3220142985,0.371
000008,神州高铁,2020-12-31,12828310641,6159732583,6668578058,-891970904.8,1917519166,0.4802
000009,中国宝安,2016-12-31,21622925841,13488187993,8134737848,419482105.1,6449201202,0.6238
000009,中国宝安,2017-12-31,27109464910,17163559482,9945905428,323247414.7,7070802396,0.6331
000009,中国宝安,2018-12-31,29849801106,19399254080,10450547026,665070544.3,11768075486,0.6499
000009,中国宝安,2019-12-31,30209805596,19502215278,10707590318,711856499.1,12004379217,0.6456
000009,中国宝安,2020-12-31,31856615638,18611186207,13245429431,1067788613,10663512792,0.5842
000011,深物业A,2016-12-31,6654356144,4243059321,2411296823,354857241.7,2059204077,0.6376
000011,深物业A,2017-12-31,5393331549,2470775668,2922555881,622962734.4,2904690691,0.4581
000011,深物业A,2018-12-31,5820202138,2479002827,3341199311,592661752,2787240633,0.4259
000011,深物业A,2019-12-31,10772491741,7505924439,3266567301,742130050.5,3961669942,0.6968
000011,深物业A,2020-12-31,12207356913,8426235433,3781121480,731337869.7,4104374646,0.6903
000012,南玻A,2016-12-31,17146815630,9017624611,8129191019,804226524,8974083407,0.5259
000012,南玻A,2017-12-31,19535002368,10755379257,8779623111,828636035,10879400746,0.5506
000012,南玻A,2018-12-31,19114234184,9664801722,9449432462,472208588,10609963011,0.5056
000012,南玻A,2019-12-31,18201235959,8335380431,9865855528,560419577,10472028099,0.458
000012,南玻A,2020-12-31,17882914898,7267031012,10615883886,811952981,10671253445,0.4064
000014,沙河股份,2016-12-31,1873814393,1079227652,794586740.9,29112707.54,620757228.9,0.576
000014,沙河股份,2017-12-31,1528276983,728127339.7,800149643.6,10988209.58,513141023.4,0.4764
000014,沙河股份,2018-12-31,1917248983,966994316.7,950254666.1,154522074.3,357929318.7,0.5044
000014,沙河股份,2019-12-31,1972365636,1016442450,955923186,32131711.4,438139662.7,0.5153
000014,沙河股份,2020-12-31,2433688819,1479915921,953772898.7,9134688.12,346673403.1,0.6081
000016,深康佳A,2016-12-31,17243119598,13924620703,3318498895,92175358.08,20299348136,0.8075
000016,深康佳A,2017-12-31,23558735470,15360545662,8198189807,5086834100,31227763250,0.652
000016,深康佳A,2018-12-31,32985061889,23533693578,9451368311,668618421.6,46126797341,0.7135
000016,深康佳A,2019-12-31,42586955452,32660257665,9926697787,334936115.3,55119125479,0.7669
000016,深康佳A,2020-12-31,49876267494,39155372369,10720895125,540073462.4,50351836555,0.7851
000017,深中华A,2016-12-31,54088275.72,36806464.67,17281811.05,3891579.73,141970520.8,0.6805
000017,深中华A,2017-12-31,73559961.28,54698990.76,18860970.52,1579159.47,137490597.7,0.7436
000017,深中华A,2018-12-31,73242960.17,56262495.43,16980464.74,-1880505.78,119906950.3,0.7682
000017,深中华A,2019-12-31,62733602.58,51292019.49,11441583.09,-7813881.65,76022687.75,0.8176
000017,深中华A,2020-12-31,91742769.99,66100480.31,25642289.68,4375706.59,117857480.2,0.7205
000018,神城A退,2016-12-31,7986178962,6155696089,1830482873,472092895,4664999117,0.7708
000018,神城A退,2017-12-31,11667845186,9407678316,2260166870,384046026.8,6497124981,0.8063
000018,神城A退,2018-12-31,9603455935,9337887714,265568221.3,-1719764439,2426987687,0.9723
000019,深粮控股,2016-12-31,1178543725,128805162.4,1049738563,90145526.08,273383643,0.1093
000019,深粮控股,2017-12-31,1070386221,107232890.3,963153330.3,-61252928.19,315762708.4,0.1002
000019,深粮控股,2018-12-31,6468951794,2131352962,4337598832,320855724.4,10758782838,0.3295
000019,深粮控股,2019-12-31,6775067276,2151629145,4623438131,384516456.5,11059984336,0.3176
000019,深粮控股,2020-12-31,7309384148,2514138744,4795245404,403771846.5,11884527506,0.344
000020,深华发A,2016-12-31,632475542.4,312776973.8,319698568.6,5457710.33,619167770.7,0.4945
000020,深华发A,2017-12-31,629762731.4,309089753.4,320672978,974409.39,858040132.7,0.4908
000020,深华发A,2018-12-31,617090153.5,293122152.7,323968000.7,3295022.72,637046707,0.475
000020,深华发A,2019-12-31,614163899.9,284735850,329428049.9,5460049.15,721557440.5,0.4636
000020,深华发A,2020-12-31,627779621.1,291530883.8,336248737.3,6830187.4,691742269.1,0.4644
000021,深科技,2016-12-31,11717371550,6420043129,5297328421,223740673.7,15069170534,0.5479
000021,深科技,2017-12-31,16599483730,10670724237,5928759494,573895565.6,14209778550,0.6428
000021,深科技,2018-12-31,15996830985,9227024995,6769805990,565371989,16061005965,0.5768
000021,深科技,2019-12-31,18453360449,11351250771,7102109678,441858514.4,13223818815,0.6151
000021,深科技,2020-12-31,21634626827,13624651397,8009975430,953087639.7,14967234846,0.6298
000022,深赤湾A,2016-12-31,6620476710,983482973.4,5636993736,669849703.7,1905107140,0.1486
000022,深赤湾A,2017-12-31,7975470563,1408427654,6567042910,713858775.1,2456218835,0.1766
000022,深赤湾A,2018-12-31,1.28018E+11,47601158543,80416925873,2885914754,9703394623,0.3718
000022,深赤湾A,2019-12-31,1.56697E+11,61706710234,94990207612,8166917273,12123829424,0.3938
000022,深赤湾A,2020-12-31,1.68544E+11,62866644246,1.05677E+11,5525568051,12618529996,0.373
000025,特力A,2016-12-31,1189001075,280464738.8,908536336.2,27617932.54,324240841.9,0.2359
000025,特力A,2017-12-31,1403314594,405291020.5,998023573.9,65781568.71,347237289.8,0.2888
000025,特力A,2018-12-31,1658295531,559013315.1,1099282216,86139979.36,414238779,0.3371
000025,特力A,2019-12-31,1645782144,306569147.2,1339212997,218807234.2,571072893.9,0.1863
000025,特力A,2020-12-31,1708442301,323796199.3,1384646102,60305229.91,424419203.3,0.1895
000026,飞亚达,2016-12-31,4004897563,1629949373,2374948190,110374847.3,2993864561,0.407
000026,飞亚达,2017-12-31,3579789693,1111816816,2467972877,142616359.2,3345809704,0.3106
000026,飞亚达,2018-12-31,3599691650,1029551086,2570140565,183835095.3,3400450600,0.286
000026,飞亚达,2019-12-31,3760923285,1106383608,2654539678,215909014.2,3704210735,0.2942
000026,飞亚达,2020-12-31,4018712700,1218752029,2799960671,294122102.2,4243439953,0.3033
000027,深圳能源,2016-12-31,60862186185,36034527627,24827658558,1406635479,11318112180,0.5921
000027,深圳能源,2017-12-31,77230930148,52508333189,24722596959,845059357.8,15545854866,0.6799
000027,深圳能源,2018-12-31,85073895249,57590249378,27483645871,716386573.6,18527395542,0.6769
000027,深圳能源,2019-12-31,96112048125,62527194966,33584853159,1829139470,20817004466,0.6506
000027,深圳能源,2020-12-31,1.14062E+11,72208654675,41853609531,4267471599,20454506142,0.6331
000029,深深房A,2016-12-31,3785600783,1269633913,2515966870,311495750.1,2352023528,0.3354
000029,深深房A,2017-12-31,3989263982,1289241420,2700022562,184922598.1,1345912605,0.3232
000029,深深房A,2018-12-31,4665891514,1465156404,3200735111,499971565,2175187243,0.314
000029,深深房A,2019-12-31,4909669536,1384686302,3524983234,541197030.1,2548740319,0.282
000029,深深房A,2020-12-31,4936916747,1279829492,3657087255,289962754.4,1615009714,0.2592
000030,富奥股份,2016-12-31,9072987294,3298031506,5774955787,676619091.9,5856937609,0.3635
000030,富奥股份,2017-12-31,10364348492,4039925411,6324423081,818894935.4,7193263144,0.3898
000030,富奥股份,2018-12-31,11682128692,4554212656,7127916035,873668594.3,7852536417,0.3898
000030,富奥股份,2019-12-31,12920598875,5466923381,7453675494,883237279.1,10063808026,0.4231
000030,富奥股份,2020-12-31,14461488628,6186802631,8274685997,908467059.7,11113430326,0.4278
000031,大悦城,2016-12-31,61276950060,49989420885,11287529175,1333459036,18025191495,0.8158
000031,大悦城,2017-12-31,75751475787,64006886623,11744589164,1734838350,14042355929,0.845
000031,大悦城,2018-12-31,91171929972,77412144528,13759785443,2004363639,14119575135,0.8491
000031,大悦城,2019-12-31,1.83183E+11,1.40642E+11,42541040407,3705363475,33786623202,0.7678
000031,大悦城,2020-12-31,1.99871E+11,1.54225E+11,45646265168,1122703856,38445284256,0.7716
000032,深桑达A,2016-12-31,1955415047,405787882.9,1549627164,45756957.08,1987304343,0.2075
000032,深桑达A,2017-12-31,1927338866,358574218.6,1568764647,13066915.22,1721063809,0.186
000032,深桑达A,2018-12-31,2153380723,637260365.5,1516120358,111771375.5,1600672542,0.2959
000032,深桑达A,2019-12-31,2342259464,684000449.7,1658259015,157782598.7,1501126102,0.292
000032,深桑达A,2020-12-31,2585767766,778208043.7,1807559722,188976574.6,1520804785,0.301
000033,新都退,2016-12-31,319193188.3,296377054.6,22816133.74,5585719.74,114750425.3,0.9285
000034,神州数码,2016-12-31,17037169576,14386496361,2650673215,402783738.3,40531123501,0.8444
000034,神州数码,2017-12-31,24273190388,20915357747,3357832641,723188627.3,62215950459,0.8617
000034,神州数码,2018-12-31,25985451950,22138961700,3846490250,516026502.6,81858054493,0.852
000034,神州数码,2019-12-31,29420902442,25046035352,4374867090,701657307.5,86803376390,0.8513
000034,神州数码,2020-12-31,30689603233,25986813682,4702789551,624100020.6,92060443406,0.8468
000035,中国天楹,2016-12-31,5998494257,3936032536,2062461721,211724505,980499677.8,0.6562
000035,中国天楹,2017-12-31,8130264343,5081881799,3048382544,224894366,1611814141,0.6251
000035,中国天楹,2018-12-31,8808911186,5514397312,3294513874,222297614.8,1846883070,0.626
000035,中国天楹,2019-12-31,47296911052,35593426971,11703484081,769553012.1,18587094375,0.7526
000035,中国天楹,2020-12-31,50377882369,37883349212,12494533157,828502094.5,21867491788,0.752
000037,深南电A,2016-12-31,4363703614,2339734137,2023969477,1264758441,1574088978,0.5362
000037,深南电A,2017-12-31,2883804393,859457838.6,2024346554,377076.76,2045766832,0.298
000037,深南电A,2018-12-31,3307148290,1270348911,2036799379,12452824.75,1884937109,0.3841
000037,深南电A,2019-12-31,3219261721,1156769399,2062492322,25692942.62,1222577955,0.3593
000037,深南电A,2020-12-31,3020830930,933088408.5,2087742522,67924788.49,985253831.6,0.3089
000038,深大通,2016-12-31,6393623559,1279704305,5113919254,240476528.1,1029196296,0.2002
000038,深大通,2017-12-31,5771928314,375061344.8,5396866970,358378132.8,1510366506,0.065
000038,深大通,2018-12-31,3033786539,404634999.1,2629151540,-2352749208,2591464629,0.1334
000038,深大通,2019-12-31,2917164238,163232097.2,2753932141,123907568.3,1834846120,0.056
000038,深大通,2020-12-31,3238497741,330380814.1,2908116927,79441527.98,2130243694,0.102
000039,中集集团,2016-12-31,1.24615E+11,85479956000,39134792000,734983000,51111652000,0.686
000039,中集集团,2017-12-31,1.30604E+11,87366945000,43237434000,3158415000,76299930000,0.6689
000039,中集集团,2018-12-31,1.58884E+11,1.06481E+11,52402988000,4068455000,93497622000,0.6702
000039,中集集团,2019-12-31,1.72108E+11,1.1707E+11,55037978000,2510113000,85815341000,0.6802
000039,中集集团,2020-12-31,1.46212E+11,92357667000,53853844000,6011740000,94159083000,0.6317
000040,东旭蓝天,2016-12-31,17287967225,6324044572,10963922653,175339071.2,3773501706,0.3658
000040,东旭蓝天,2017-12-31,28903531697,17344066585,11559465112,539940092.7,8131025320,0.6001
000040,东旭蓝天,2018-12-31,34423044803,19851862468,14571182335,1126438187,8676289465,0.5767
000040,东旭蓝天,2019-12-31,30987232191,17466675344,13520556847,-957130872,6805761616,0.5637
000040,东旭蓝天,2020-12-31,26201168827,14005941901,12195226925,-1040991478,3471428438,0.5346
000042,中洲控股,2016-12-31,29161608502,23300464101,5861144401,221540300.3,8115755330,0.799
000042,中洲控股,2017-12-31,43619885474,36736070588,6883814886,608896802.1,8654233826,0.8422
000042,中洲控股,2018-12-31,46050688701,38384398986,7666289714,414949085.3,7942112442,0.8335
000042,中洲控股,2019-12-31,45141526985,37128755432,8012771554,673559088,7213165826,0.8225
000042,中洲控股,2020-12-31,44443757648,36246929386,8196828262,159964418.4,10697019545,0.8156
000043,中航善达,2016-12-31,21733185266,17005355957,4727829309,137312973.7,6322693627,0.7825
000043,中航善达,2017-12-31,19114097655,14515533274,4598564381,-34728088.59,5893494038,0.7594
000043,中航善达,2018-12-31,13235646080,8350357205,4885288875,823981898.9,6655646452,0.6309
000043,中航善达,2019-12-31,16501692113,8499540728,8002151385,269723615.6,6077903716,0.5151
000043,中航善达,2020-12-31,16279503134,7990810339,8288692796,408715251.1,8635147481,0.4909
000045,深纺织A,2016-12-31,4119586266,679467284.4,3440118982,-87270604.54,1198200216,0.1649
000045,深纺织A,2017-12-31,4195746508,672727378,3523019130,73661677.87,1475545720,0.1603
000045,深纺织A,2018-12-31,4619203417,1159722890,3459480527,-62302707.38,1272356771,0.2511
000045,深纺织A,2019-12-31,4531399886,676784315.8,3854615570,-18526678.63,2158184856,0.1494
000045,深纺织A,2020-12-31,4969547552,1070232303,3899315250,43497645.15,2108964688,0.2154
000046,泛海控股,2016-12-31,1.67836E+11,1.42942E+11,24893922180,3056968740,24670534835,0.8517
000046,泛海控股,2017-12-31,1.87775E+11,1.60279E+11,27495882037,3092597848,14999767987,0.8536
000046,泛海控股,2018-12-31,2.12097E+11,1.83667E+11,28430000146,1033097635,11203514742,0.866
000046,泛海控股,2019-12-31,1.77872E+11,1.44765E+11,33106988870,1426496448,9999326791,0.8139
000046,泛海控股,2020-12-31,1.80991E+11,1.4601E+11,34980343660,-4720384568,14056819179,0.8067
000048,京基智农,2016-12-31,1959736874,1133676716,826060157.9,6004851.81,1561230908,0.5785
000048,京基智农,2017-12-31,3904776967,3196029216,708747751.1,-138757244.9,1549614465,0.8185
000048,京基智农,2018-12-31,5182504078,3957123227,1225380850,449539375.5,3436940911,0.7636
000048,京基智农,2019-12-31,6471993600,4094259641,2377733959,1158245287,4918723381,0.6326
000048,京基智农,2020-12-31,9903753908,7122525593,2781228315,877714394.8,4071503297,0.7192
000049,德赛电池,2016-12-31,5145792231,3645687160,1500105070,349686870.7,8724412329,0.7085
000049,德赛电池,2017-12-31,7619067450,5803846853,1815220597,363769831.8,12485975568,0.7618
000049,德赛电池,2018-12-31,8822025314,6557381730,2264643584,525615431.2,17249233753,0.7433
000049,德赛电池,2019-12-31,8770155403,5908903567,2861251836,669837724.5,18442687582,0.6738
000049,德赛电池,2020-12-31,9039290923,6216959033,2822331891,740276942,19397824464,0.6878
000050,深天马A,2016-12-31,21679336300,7920376784,13758959517,569177393.4,10736756431,0.3653
000050,深天马A,2017-12-31,29652260560,15177463414,14474797147,807204315.6,14012500490,0.5118
000050,深天马A,2018-12-31,60036990054,34032259410,26004730644,983879402.4,28911543961,0.5669
000050,深天马A,2019-12-31,65451008434,38743783948,26707224485,829364995.4,30281970068,0.592
000050,深天马A,2020-12-31,73557804389,39989466025,33568338364,1474521450,29232745052,0.5436
000055,方大集团,2016-12-31,6787051278,4484737928,2302313350,655990432,4203866174,0.6608
000055,方大集团,2017-12-31,7625422689,4386483486,3238939202,1151047222,2947470814,0.5752
000055,方大集团,2018-12-31,10658854134,5463666512,5195187622,2246164572,3048680152,0.5126
000055,方大集团,2019-12-31,11369964580,6138759491,5231205089,346761604.3,3005749559,0.5399
000055,方大集团,2020-12-31,11866857250,6419461259,5447395991,381777216.9,2979296410,0.541
000056,皇庭国际,2016-12-31,10640504287,5132312418,5508191868,116406566.5,325839869.4,0.4823
000056,皇庭国际,2017-12-31,14169679684,8382933527,5786746157,210054564.1,702271639.4,0.5916
000056,皇庭国际,2018-12-31,13254846349,7448217540,5806628809,118662346.8,949111225.9,0.5619
000056,皇庭国际,2019-12-31,12456959665,6902037118,5554922547,76274504.72,948963902.3,0.5541
000056,皇庭国际,2020-12-31,11756759580,6923231922,4833527658,-319660679.5,685729753.5,0.5889
000058,深赛格,2016-12-31,2548276265,789767713.4,1758508552,142230329.6,757910797,0.3099
000058,深赛格,2017-12-31,6992590421,4411666524,2580923897,308024690.9,2029848516,0.6309
000058,深赛格,2018-12-31,7128009738,4678160834,2449848904,23545650.74,1612268337,0.6563
000058,深赛格,2019-12-31,6190598895,3680011813,2510587082,103167606.7,1493227561,0.5945
000058,深赛格,2020-12-31,5830977104,3349591291,2481385813,30183327.57,1403665817,0.5744
000060,中金岭南,2016-12-31,16969105941,8753158555,8215947385,341910508.8,15081663968,0.5158
000060,中金岭南,2017-12-31,18868841946,8463287930,10405554016,1093552476,19013295752,0.4485
000060,中金岭南,2018-12-31,19506332203,8789377269,10716954934,909577972,20008164616,0.4506
000060,中金岭南,2019-12-31,20320601647,8956772252,11363829395,871387969.3,22837569682,0.4408
000060,中金岭南,2020-12-31,24348332711,11506782901,12841549810,1099843150,30252782680,0.4726
000061,农产品,2016-12-31,17249187729,11000879367,6248308361,93274235.89,2020079118,0.6378
000061,农产品,2017-12-31,18843433039,12434469268,6408963771,61172541.52,2446281450,0.6599
000061,农产品,2018-12-31,18999687796,12409347781,6590340016,100225915.3,2302055709,0.6531
000061,农产品,2019-12-31,19600592081,12730858429,6869733652,406858670.5,2852962645,0.6495
000061,农产品,2020-12-31,19405184042,12311636633,7093547409,442104277.6,3174447984,0.6345
000062,深圳华强,2016-12-31,6922645147,2840556831,4082088316,439803713.6,5544599007,0.4103
000062,深圳华强,2017-12-31,8565499642,4090761190,4474738451,456713727,8297880908,0.4776
000062,深圳华强,2018-12-31,10301894440,5156576099,5145318341,769568971.9,11799716612,0.5005
000062,深圳华强,2019-12-31,11350473383,5639193961,5711279423,717250085.8,14355283742,0.4968
000062,深圳华强,2020-12-31,12240957483,6139943306,6101014176,719735327.8,16330983090,0.5016
000063,中兴通讯,2016-12-31,1.41641E+11,1.00756E+11,40885090000,-1407869000,1.01233E+11,0.7113
000063,中兴通讯,2017-12-31,1.43962E+11,98582068000,45380147000,5386342000,1.08815E+11,0.6848
000063,中兴通讯,2018-12-31,1.29351E+11,96390074000,32960675000,-6949340000,85513150000,0.7452
000063,中兴通讯,2019-12-31,1.41202E+11,1.03248E+11,37954298000,5776669000,90736582000,0.7312
000063,中兴通讯,2020-12-31,1.50635E+11,1.04512E+11,46122506000,4721692000,1.01451E+11,0.6938
000065,北方国际,2016-12-31,12148177175,8487277322,3660899853,528320281.3,8761923444,0.6986
