评论人昵称,星级,等级,时间,有用数,评语
其实叫朗基努斯,3,还行,2020-08-21 08:40:44,9247,"
陈可辛都拍不出这么做作的电影，明明煽情得要死还要搞出一副纪录片的质感，后半段整个崩掉，生怕观众get不到还要派黄晓明出来说教点题。有几个战斗场面本来拍得还行，但都抵不过杜淳那出戏的假方言。
"
.,1,很差,2020-08-16 22:37:01,890,"
故事本来就很悲壮了，不必整这些花里胡哨的，能老老实实的讲好故事就不错了，非得搞得这么复杂，四不像！一点破事反复赘述，真的烦透了！！！
"
Shadowchaser,4,推荐,2020-08-19 14:11:55,8889,"
7.5/10. 怀着9分的期望去看的，遗憾的发现影片远没有我想象中的那么好，虽然本身质量也够硬。理应是高潮的护旗戏份虽然热血，但总少了点劲，导致全片的战斗片段没有一段是足够称得上高潮的。差不多四五场大小接敌战，很好的调动起观众的情绪，但是每一段都点到为止，怎么也没有真的把最后感人至深的泪点引出来，打的又很真实，以至于可以燃的燃点也没有塑造好。包括后半小时的撤退戏，强行煽情，只让人觉得节奏拖延，太过拉胯了。白马意象可以保留，但幻想赵子龙的片段完全无意义，和几处慢镜头一样无意义。服化道的用心和制作精良的态度以及管虎的野心如同影片的缺点一样显而易见。虽然没我想象中那么好，但整体上是非常值得一看的国产片。
"
朝暮雪,2,较差,2020-08-19 11:45:14,8003,"
摄影、视觉效果、场面调度是一流，但立意和内核是不入流。
孙元良带领国军全部撤离上海，只留下420人保卫四行仓库，而且贪污了26万用于修筑防御工事的钱。
人又少，又没钱，能打得不惨吗？
打得惨，国军的目的就达到了。
所以四行仓库保卫战的本质是国军用这420人证明国军“还在坚守”，用卖惨祈求国际的介入。
八百只是他们的棋子，从头到尾都被蒙在鼓里。
新闻讲究真实、准确、公正、全面、客观，拍真实事件的电影也一样。
本片着重拍八百保卫四行仓库，对国军高层的昏庸腐败却一笔带过，这是片面，是断章取义。
拍一部不交代时代背景的战争片毫无意义，我们不仅要知道他们打了一仗，更要知道他们为什么要打，更要知道这场战役背后的故事。
张译从头到尾都是逃兵，没有任何成长。
姜武和王千源的台词可以写得更高级。
升旗很悲壮，但不符合史实。
"
胧月夜,5,力荐,2020-08-18 10:26:13,6737,"
电影结束，全场静默，仿佛所有的观众还沉浸在那种悲壮的氛围中没有回神
"
禁闭岛,1,很差,2020-08-14 22:02:48,443,"
字幕敢不敢再多点，没参与过电影制作吗？一会冒出个摄影指导、一会一个导演的，生怕别人不知道是你制作的。欧豪都30了在里面演个孩子。整体感觉就是误入快男选秀现场，插刀教团伙，对不起，我还是继续看我的抗日神剧吧。导演貌似根本不知道自己要讲的是什么。对不起，八佰救不了华谊！
"
下一秒治好懒病,3,还行,2020-08-14 21:01:04,6008,"
和删不删减没关系，创作者就没明白是想拍大时代小人物，还是小人物大时代。对岸民众拍得更可笑
"
春玉简,5,力荐,2020-08-19 13:53:00,4583,"
大半年了，有这样大制作又有家国情怀的电影让经历了疫情洪灾的国人确实足够提振精神
"
浅草37,4,推荐,2020-08-21 19:33:59,2804,"
机枪班绑手榴弹排队往下跳的那段震撼到全场静默
"
在下坂本,3,还行,2020-08-21 17:23:30,6837,"
比较感人的是 大喊自己名字然后跳楼自曝那段 我哭的稀里哗啦，结尾感觉有点草率，老算盘不知所踪
"
清露雨蝶,5,力荐,2020-08-19 12:45:27,2708,"
支持国产战争电影！看完以后久久不能平复自己的心情，看看这安逸的社会，都是血与泪保卫而来的！中国崛起！人民团结！珍惜生活！勇敢面对！我敬佩的是在这个国家一盘散沙时每一颗冲上去粉身碎骨的沙子。看哭很多次。
"
SydneyCarton,3,还行,2020-08-19 00:27:50,4992,"
怎么说呢，不管你抱着何种期待去看这部，都会觉得还欠一点。给它高分有点不甘，给它恶评于心不忍，“苦劳”电影。
"
钾碳铀氟,4,推荐,2020-08-14 17:49:11,2248,"
不是八佰电影能做到最好的样子，但是当下华语电影能做到最好的样子。管虎葛瑞在人物上很明确地下了功夫，包含五位杂兵和几位长官在内的一众角色的弧光相当清晰；可惜面面俱到的故事展现却削弱了人物刻画的占比，最后的几场戏中，我预期的情绪渐进的交叉蒙太奇没有出现，南岸的群画像以及个别人的戏份也没有拍得很好（这应该和删减有关），最终导致整部电影的落点稍显混乱。曹郁之于本片，近似狄金斯之于2049，灯光与景深的出色运用将历史真切的厚重感压在观众身上；制作上是一等一的好，比任何国产片都更有大片质感，管虎在本片中所展现的，是国内商业导演最接近诺兰的一次，虽然说其实还差得远，但有那味了。华语电影请继续加油，不要害怕那些道听途说心怀鬼胎的舆论，他们的所作所为，和自己所鄙夷的卖国贼并无二样
"
D,5,力荐,2020-08-19 13:45:32,1585,"
很震撼，好哭，拼尽全力保护我们的国家
"
