评论人昵称,星级,等级,时间,有用数,评语
朝暮雪,4,推荐,2019-09-29 23:22:00,9583,"
《北京你好》最佳。宁浩竟然能把北京奥运会如此盛大的赛事拍得那么接地气，而且笑中带泪。
以一张奥运会门票为线索，巧妙串起2008年另一件事。
表面上是喜剧，内核其实是悲剧，笑着笑着就哭了。
《前夜》次之。当他们以为没有人理他们的时候，结果所有人都尽了绵薄之力，从烟斗到勺子，从铁锤到长命锁，瞬间泪崩。
《夺冠》和《北京你好》类似，都是透过老百姓的视角反映大时代大事件，主角不是伟人，也没有什么轰轰烈烈的壮举，但是最能让人共鸣。
《白昼流星》借助航天探讨贫富差距。
这个年代人类已经能进入太空，也有的人还看不起病、买不起衣服。
扶贫不仅仅在于物质层面，更重要的是对教育和思想的扶贫。
白昼流星不是流星，也不是宇宙飞船，而是那些带领他人前行的人——探索宇宙的宇航员，又或者是让小孩见识到世界广阔的老者。
"
麻绳,3,还行,2019-09-28 22:02:10,9583,"
徐峥胜出。陈凯歌是作为总导演自告奋勇地拿了最烂的那个本子吗？
"
西楼尘,4,推荐,2019-09-28 21:20:56,7628,"
旗杆上升起的不是一块红布，报纸上登载的不是一个名字，电视外错过了情窦，鸟巢里交换了运气。秒针精确了百年的等待，流星划破了回乡的急迫。女排夺冠终结了我最短的暗恋，核弹爆破公开了你最长的沉默。奥运开幕兑换了我最大的运气，香港回归校准了你最久的思念。每个历史瞬间，都有回忆我们自己记得。
"
LOOK,3,还行,2019-09-29 13:57:44,4130,"
三星都给徐峥这段。基本就是卡萨布兰卡+繁花，唯一缺陷是冬冬长大后怎么就变成了吴京而不是胡歌。宁浩这段分寸全靠葛优掌控。管虎这是被罚再拍一次旗帜么？张一白浪费了好题材，本可以是柳云龙风筝蒙冤硬挺情节，但演员没有驾驭好，给弄成了话剧。文牧野最大亮点是雷佳音的荤段子。陈凯歌就又是虚头巴脑的玩意。薛晓璐零蛋。
"
_,4,推荐,2019-09-30 01:31:52,7376,"
几个人一起看，前面排名无所谓，最差大家都很一致——白昼流星  因此扣了一星
"
悠三岁,4,推荐,2019-09-28 22:46:26,4159,"
宁浩是最好的，葛大爷是完美的。
"
影志,4,推荐,2019-09-28 22:30:04,3625,"
谁能想到呢？这可能是国庆档最好看的一部。从片头王菲主题曲开始就被渲染，看之前有主旋律的刻板印象，但当故事从一个个小人物的切口开始讲述后，就会忘掉主旋律的影子，进入这些故事。2个半小时不嫌长，7个故事亲身经历后面4个，喜欢程度按：徐峥的《夺冠》>宁浩的《北京你好》>张一白的《相遇》>管虎的《前夜》>文牧野的《护航》>陈凯歌的《白昼流星》>薛晓璐的《回归》。爬上房顶的求助张罗、陈旧的《青春之歌》、屋顶上的天线超人、一秒也不能等的东方之珠、萨马兰奇送的奥运门票、回乡的人和没能实现的飞行…每一个无名的“我”都是历史书里看不到的，有笑有泪，原来我们就是这样在历史长河中经历了生活。
"
Cool,5,力荐,2019-09-30 15:00:35,11097,"
第三段那个小男孩太棒了
"
安东,2,较差,2019-09-30 13:17:50,1920,"
就像什么呢，就像一个小伙子想对女孩表达爱意，有太多的甜言蜜语可讲，而七个小伙儿一拥而上同时表白，除了“爱爱爱”就听不到别的声音了，慷慨激昂又空洞苍白。
"
米米路亚0815,5,力荐,2019-09-30 09:29:42,5705,"
最喜欢女排那个故事，小演员太可爱了。     优叔一出现感觉过年了。
"
黄青蕉,4,推荐,2019-09-29 17:02:53,3181,"
任务型电影拍成这样可以了，难得的大时代下看到一点小人性，徐峥（居然）最佳，宁浩第二，其他正常发挥，凯歌老师…emmmmm儿子特写拍太多了哈
"
昆仑有人衣青衣,4,推荐,2019-09-28 18:11:20,1226,"
《我和我的祖国》由七位导演各执一环、按年代事件串接，虽风格各异但共成一色，十分特别。与前几个故事或昂扬或细腻或幽默不同，由陈凯歌执导、第六个亮相的《白昼流星》则大气、温暖。“李叔”于荒漠戈壁的坚守，沃德乐兄弟的迷途知返，都在陈凯歌娴熟老练的转切对接、铺垫推进中，化作沁心的感动。而故事的暖又与雄浑壮美的画面相映衬，佐证了陈凯歌的把控功力。
"
夜来,1,很差,2019-10-01 02:10:39,196,"
大型春晚合集现场
"
私享史,3,还行,2019-09-28 18:34:25,3231,"
管虎5.5分，败笔很多，用倒计时的字幕和黄渤的大量旁白解说加剧了匆忙叙事的流水账感，这个短片还用了最多的明星客串，分散焦点，增加琐碎感。
张一白6.5分，故事太简单，完全是靠任素汐的大段独白撑着，任的演技可谓信手拈来。
徐峥7.5分，七部中的最佳，最生活气息，最显时代感，最轻松愉快。唯一值得商榷的是寻常弄堂里怎么会抛出那么大一面国旗。
薛晓路7分，“一秒都不能少”这个点切得特别好，唯一的不足是任达华的角色设定太刻意，他的那条线也很牵强。
宁浩5分，用“奥运”这个命题作文生造的“一件小事”，葛大爷再能演再可乐也遮不住这个故事的空洞。
陈凯歌4.5分，把一大一小毫无关联的两件事硬凑到了一起，符合陈一贯的不着调风格。唯一值得夸的是它把故事放在了边陲。
文牧野7分，年轻导演拍出了锐气。
【南海万达】
"
已注销,4,推荐,2019-09-28 23:40:53,913,"
我永远喜欢冬冬！
"
陈一,3,还行,2019-09-28 18:37:00,1592,"
陈凯歌凭一己之力把宁浩拉上去的一星又还回去了。
"
胤祥,3,还行,2019-09-29 07:06:45,1433,"
7场“最后一分钟营救”，比的就是怎么去做这个最后一分钟营救。7部评分及个人喜好排序：管虎(4)>徐铮(4)>宁浩(3)>张一白(3)>薛晓璐(2)>文牧野(2)>陈凯歌(1,或者X)。管虎开场调子定的太高后面真的不太好追……要数管虎那段最讲究，细节、方言等等都不错（王千源逆人潮而出的那个长运动镜头相当打动人）。徐铮再次搞了一个父子之家的故事，视听和调度还都蛮有想法（这段其实相当值得分析）。宁浩那段可信度实在打折扣，否则可能还会更好。张一白虽然有两段极为精彩的电影化调度（两人在公车里坐下后车外环境，以及cue[青春之歌]的人潮），但无奈整体温吞且群演实在是有点呵呵。其余几部，薛晓璐拍得比较散乱（其实和第一段可以形成复调啊！），文牧野拍得油腻，至于凯爷，真的不知道编这么个故事要干什么……
"
发呆忘事大王,4,推荐,2019-09-30 23:11:07,719,"
陈凯歌的部分是个败笔
"
柯里昂,3,还行,2019-09-29 22:19:32,526,"
功绩和成就需要被歌颂，主旋律电影存在的合理性也从未被质疑过，与此同时如果能一并回头看看那些被遗忘的和没被正视过的苦痛，或许才是真正的进步。电影本身能看（三部之中），毕竟最好的资源都给到位了，作为献礼片难免会让人联想到2009年的那部，十年过去，跟涨了十倍的票房相比，中国电影在其它方面做出的努力和觉悟实在太缓慢太微不足道了。
"
糖小包,5,力荐,2019-09-30 00:00:32,3400,"
我以前是不怎么感冒献礼片的，这次因为朱一龙的缘故关注了我和我的祖国，才发现我比自己想象中更爱这个国家。这部献礼片的意义，是串联，是纪念，是传承，非常适合全家一起观看。
"
王大根,3,还行,2019-09-28 18:08:57,479,"
How to abandon your personal life for your c*untry, 七个故事里张一白拍的那个果然是最可怕的
"
禾子戈兀,5,力荐,2019-09-30 00:01:46,1490,"
这样的电影注定是要带着餐巾纸去的，真的后悔自己是一个00后，感觉大事发生的时候要么自己还不在，要么就是太小了，心境不成熟。还好在我即将步入成年后，能看到这样一部电影，他深深地教会了我，永远与祖国荣辱同在，远比教科书更加深刻而有力的教法，让我急切的期待着有一天能对前辈说:幸不辱命!
"
哄哄桔啊梗,5,力荐,2019-09-30 00:02:16,1935,"
《我和我的祖国》回归篇真实再现了香港回归的场景，青年演员朱一龙在其中饰演了一名护旗手，当他迈着坚定的步伐走向升旗台时，我好像也到了那个庄严肃穆的现场，那种澎湃激动的心情难以言表。
"
朴实无华的阳光,5,力荐,2019-09-30 00:02:10,760,"
《北京你好》很逗，《回归》很真实，《护航》很燃，《相遇》催泪，《夺冠》诙谐，《前夜》珍贵，《白昼流星》点燃希望。新中国成立70年了，用7个故事来致敬历史展望未来，喜欢。
"
有有,4,推荐,2019-09-30 08:28:33,387,"
七个故事，按照时间顺序，每个故事一个主题。最喜欢香港回归，北京奥运，女排夺冠，故事和主题比较贴合，白昼流星比较扯。
"
琼华校草小紫英,5,力荐,2019-09-30 00:04:23,712,"
为祖国这七十年热泪盈眶，前辈不易，吾当自强！
"
