评论人昵称,星级,等级,时间,有用数,评语
吴点半,3,还行,2021-09-27 18:16:24,20391,"
只说实话：
1、片长太长，对观众非常不友好。战争戏完全可以减少，士兵互相闹着玩的戏完全可以删减一部分，三个小时的电影，都开始两个小时了，才出发到长津湖；
2、万里这个角色很不讨喜。明白导演想让观众看到一个小男孩成长为一个战士的蜕变，但是放在那样的战争环境下，两次三番耍性子，太过胡闹；
3、再现神片段。敌我坦克射出的炮弹空中对撞，这概率估计不会很大；
4、电脑特效出戏。电影刚开始就抠图，后面战争场面的特效也是显得很粗糙，说真的，如此重要的一部影片确最终呈现出来时这个效果，还是很意外的。
以上是看完电影后我个人的一点观后感，不喜勿喷。
"
摩诃曼珠沙华,4,推荐,2021-09-30 19:02:14,16246,"
那些牺牲在冰雪中的战士，不应该被遗忘
"
苏樱,5,力荐,2021-09-29 14:35:14,12858,"
沂蒙山小调一出，仿佛回到了很多年我的家乡，山东省临沂市沂水县下虎峪村，我在听外公讲他抗战时候的故事。他总是说，战场上枪林弹雨，而他的头里一直有一块炮弹弹片，他的耳朵有一只听不见，但他说，比起战友，已经是最幸运的人。
"
xi-xia,3,还行,2021-09-30 11:11:45,9428,"
战斗场面篇幅之长，剧情逻辑衔接之弱，看到最后真的麻木了。片长控制在两个小时更好一点。
"
觉日尧,4,推荐,2021-09-29 22:11:46,7308,"
小村庄夜战那段简直了，一看就是林超贤导演的手笔。炮兵、狙击手、机关枪手，扔手雷、近身肉搏，安排得环环相扣，节奏太好了。易烊千玺的扮相和特写也很精彩，没想到这么豁得出去。最后美军发现冻僵的志愿军尸体那里，虽然读书的时候看过这个情节，但还是被戳到了。
"
落花时节再吃鸡,1,很差,2021-10-05 22:18:21,2391,"
电影毫无结构 段落化太明显 对剧情没有帮助的打斗戏太多 体验非常差。关键角色的口音不符合人设 吴京和千玺都是湖州兄弟 可是一口京腔。很多片段是音乐先行 剧情还没到高潮 音乐就已经拉满 煽情煽到恶心
"
只是咕咕,5,力荐,2021-09-30 17:30:36,6516,"
“我们不打，下一代就得打”
"
江上悬鱼,4,推荐,2021-09-30 19:09:31,4252,"
场面拍得挺好，但总觉得少了点什么。
"
澈安,4,推荐,2021-10-01 23:32:47,3382,"
我看见那句为抗美援朝战争的胜利打下了基础的时候，突然的意识到教科书上这样古板的文字，背后的意义实在太沉重太深刻了。
"
mongantagta,4,推荐,2021-09-28 20:02:36,5604,"
点映观影，场面非常震撼，摄影很有新意。不得不说四字弟弟的表现我个人很满意很惊艳，在电影中他不是偶像他就是那个敢拼敢打像只小兽莽撞向前的伍万里。
"
Fun,5,力荐,2021-09-29 23:00:28,9106,"
先看1950他们正年轻，再看长津湖，一边是听觉上听老兵们谈抗美援朝，一边是视觉上重现他们的过往，不得不说，都是非常非常值得观看的电影。

长津湖，吴京yyds！易洋千玺未来之星！
胡军，朱亚文，为什么可以这么好啊！
我觉得不得不说是李晨对比起来真的很糟糕啊，演技台词都不在线！

最直观的感受是，我决定不过圣诞节了，从前我觉得和平年代百花齐放，过过节也没什么，现在我觉得不是的，历史教育任重道远，我不愿意傻呵呵地替别人庆祝胜利，我有什么资格去替别人高兴？

我们的战士们在条件如此艰苦的情况下仍然浴血奋战，那些不是数字，都是人命，是我们有今天幸福生活所牺牲的人们啊！我们这么能不知道啊！怎么能忘记啊！！！
"
邪魔天使,3,还行,2021-09-27 19:46:59,8061,"
画面质感差，特效一般，战争戏感觉很乱，三个小时的电影感受不到剧情的起伏和高潮，更谈不上震撼，虽是大制作，但实在平庸
"
九,4,推荐,2021-10-02 12:27:13,1083,"
万里一个新兵在枪林弹雨里穿梭毫发无伤 难免让人觉得主角光环强大
"
Larghetto,4,推荐,2021-09-30 16:01:38,865,"
该夸的也夸了，透过这一部片子来谈谈文艺背后的症候。无论是多位导演联合执导的局面，还是对其散乱冗的批评，都不只是这一部影片展出现的问题，而是近几年类型片的通病。回到文艺发展史本身，依旧是“革命礼乐”与“礼乐革命”发生了转轨与变调。从配乐来看，两个半小时的影片塞下了近十条音乐动机显然是过于满了，配合上大量的战争镜头造成了感官的疲惫，也类似于戏剧的“音墙”干扰了演员的唱词。而这背后体现的正是好莱坞大片的叙事模式（中途岛战役）与样板戏类型产生的冲突。例如进攻动机的使用，军号旋律之后紧跟着一长串交响其实是不太合适的，这正是某种创作困局的隐喻。希望导演们能够结合好“花部”与“雅部”，形成新的主旋律类型。
"
To-致敬,4,推荐,2021-09-26 09:41:33,729,"
CG做得实在一言难尽；大部分战斗戏又黑又晃，如果是3D估计得看吐，幸好不是；故事线剪辑穿插问题很大，兄弟俩拍着拍着就虎头蛇尾了，要不是知道有第二部，这结尾能被骂死，既然要做第二部其实欧豪也可以放在第二部没必要先拿出来；七连第一场支援战太抢戏，把所有紧张情绪一次性宣泄出来了，导致最后大战调动不了观影情绪，有点喧宾夺主。但除了这些，也没啥缺点了，通篇设计很紧凑，三个小时的时长看得意犹未尽，希望第二部赶紧定档！

"
国士,3,还行,2021-09-30 13:26:49,5581,"
篇幅可以删减一半。
"
