,时间,识别号,胜负退,阵线,数量
0,93000000,349202,S,140300,2800
1,93000000,349204,S,139500,130100
2,93000000,349213,S,159800,45000
3,93000000,349242,S,138900,300000
4,93000000,349321,S,156000,100000
5,93000000,349326,B,142500,79100
6,93000000,349371,B,142500,35300
7,93000000,349420,B,140100,200
8,93000000,349424,S,139500,6800
9,93000000,349436,B,130200,2000
10,93000000,349468,S,139800,14200
11,93000000,349469,S,139800,208500
12,93000000,349470,B,142700,500
13,93000000,349709,S,139000,295500
14,93000010,267767,C,158800,4000
15,93000010,296756,C,140800,100
16,93000010,349740,B,140400,400
17,93000010,349885,B,140300,200
18,93000010,349908,S,138900,300000
19,93000010,349909,S,139700,99000
20,93000010,349912,S,139400,99000
21,93000020,266825,C,141400,5500
22,93000020,350002,B,142500,84200
23,93000020,350133,S,142700,2800
24,93000020,350134,S,143400,2800
25,93000020,350135,S,150400,2800
26,93000020,350136,S,149200,2800
27,93000020,350137,S,149700,2800
28,93000020,350138,S,151100,2800
29,93000020,350139,S,152800,2800
30,93000020,350140,S,147900,2800
31,93000020,350141,S,146300,2800
32,93000020,350142,S,148600,2800
33,93000020,350143,S,147100,2800
34,93000020,350171,S,139700,2000
35,93000020,350173,B,142000,1500
36,93000020,350245,S,163200,88000
37,93000020,350388,B,139000,200
38,93000020,350405,B,141800,1000
39,93000020,350439,S,137700,300
40,93000020,350538,B,130800,3800
41,93000020,350546,B,141000,1000
42,93000020,350691,B,147300,2100
43,93000020,350704,S,157700,1500
44,93000020,350747,B,140000,100
45,93000020,350771,B,139100,53600
46,93000020,350774,S,149600,300
47,93000020,350831,S,144400,1300
48,93000020,350885,B,140400,1200
49,93000020,350901,B,142500,56100
50,93000020,350936,S,149900,5000
51,93000020,350947,B,142700,700
52,93000020,351024,B,138100,300
53,93000020,351055,B,140000,2000
54,93000020,351091,B,140500,500
55,93000020,351094,S,157500,100000
56,93000020,351095,S,159000,100000
57,93000020,351096,S,160500,100000
58,93000020,351097,S,162000,100000
59,93000020,351098,S,163000,100000
60,93000020,351126,B,140000,1000
61,93000020,351138,S,137700,3000
62,93000020,351144,B,132200,2000
63,93000020,351167,S,139500,21500
64,93000020,351168,S,139500,141500
65,93000020,351174,B,140500,59300
66,93000020,351190,B,140000,500
67,93000020,351265,B,140000,2000
68,93000020,351410,B,140000,900
69,93000020,351479,S,160800,1900
70,93000020,351553,S,151000,500
71,93000020,351655,B,139100,1800
72,93000020,351684,B,140000,500
73,93000020,351707,B,142700,100
74,93000020,351743,B,140000,10000
75,93000020,351836,B,140100,100
76,93000020,352165,B,140000,3000
77,93000020,352229,B,140800,800
78,93000020,352296,B,135000,500
79,93000020,352372,S,139000,60500
80,93000020,352505,B,142000,300
81,93000020,352518,B,160000,200
82,93000020,352537,B,142800,2800
83,93000030,9389,C,136000,300
84,93000030,221506,C,150100,10000
85,93000030,224056,C,150000,1000
86,93000030,238450,C,141400,1500
87,93000030,273943,C,135100,2000
88,93000030,352684,B,140000,800
89,93000030,352737,B,136000,500
90,93000030,352748,B,139500,1300
91,93000030,352756,B,140000,100
92,93000030,352781,B,142800,300
93,93000030,352916,B,140000,800
94,93000030,353016,B,140000,71300
95,93000030,353049,B,141000,1000
96,93000030,353158,B,140500,1300
97,93000030,353254,B,139500,1900
98,93000030,353316,B,139100,100
99,93000030,353386,S,163200,1000
100,93000030,353478,B,140000,400
101,93000030,353502,B,141000,500
102,93000030,353534,B,141100,9300
103,93000030,353605,B,139800,1900
104,93000030,353639,B,140500,7200
105,93000030,353646,B,140500,2600
106,93000030,353701,B,140500,2700
107,93000030,353715,B,140500,4200
108,93000030,353759,B,139900,800
109,93000030,353763,B,140000,100
110,93000030,353775,B,143000,1500
111,93000030,353826,B,140000,2000
112,93000030,353890,B,133000,2000
113,93000030,353894,B,142600,7000
114,93000030,353901,B,140000,200
115,93000030,354001,B,140000,700
116,93000030,354019,B,123400,400
117,93000030,354032,B,140600,5000
118,93000030,354038,B,140000,300
119,93000030,354064,B,142500,70100
120,93000030,354076,B,142500,61700
121,93000030,354139,B,135000,200
122,93000030,354242,S,150000,100
123,93000030,354256,B,142100,700
124,93000030,354266,B,142600,600
125,93000030,354295,B,141300,200
126,93000030,354302,B,140900,1400
127,93000030,354306,S,139900,1800
128,93000030,354413,B,150000,1100
129,93000030,354508,S,138000,2500
130,93000030,354609,B,140000,1000
131,93000030,354656,B,140000,100
132,93000030,354691,B,135100,7000
133,93000030,354732,S,139000,100
134,93000030,354746,B,138800,200
135,93000030,354845,S,163200,2000
136,93000030,354928,S,137900,4200
137,93000030,354934,S,139900,100
138,93000030,354967,B,142700,800
139,93000030,354995,B,130400,7800
140,93000030,355087,B,139900,1000
141,93000030,355199,B,163200,300
142,93000030,355203,B,140000,1200
143,93000030,355239,B,140000,1000
144,93000030,355300,B,139700,100
145,93000030,355321,B,140000,4500
146,93000030,355365,S,139000,100
147,93000030,355391,B,140200,1800
148,93000030,355405,B,140100,1200
149,93000030,355413,B,137900,2000
150,93000030,355467,B,140000,1000
151,93000030,355515,B,141700,10000
152,93000030,355541,B,142000,1500
153,93000030,355597,B,140000,10400
154,93000030,355619,B,131300,1200
155,93000030,355658,B,140500,1000
156,93000030,355666,B,139100,100
157,93000030,355722,B,138900,100
158,93000030,355743,S,139900,10000
159,93000030,355782,S,139500,3900
160,93000030,355788,B,138900,2500
161,93000030,355878,B,133000,2900
162,93000030,355897,B,140000,600
163,93000030,355928,S,139900,1000
164,93000030,355971,B,138100,800
165,93000030,355980,B,140200,1300
166,93000030,355989,B,140000,1000
167,93000030,356052,B,140300,100
168,93000040,216446,C,150000,4000
169,93000040,218894,C,150000,2500
170,93000040,267651,C,142200,600
171,93000040,269025,C,149100,400
172,93000040,356142,S,139000,10000
173,93000040,356168,B,141000,500
174,93000040,356196,B,140100,1000
175,93000040,356283,B,140000,700
176,93000040,356314,B,140000,200
177,93000040,356325,B,163200,600
178,93000040,356345,B,140000,300
179,93000040,356366,B,139900,1000
180,93000040,356377,B,140500,1600
181,93000040,356425,B,140300,700
182,93000040,356441,S,139100,200
183,93000040,356452,B,140000,1000
184,93000040,356454,B,140000,100
185,93000040,356493,B,139400,8300
186,93000040,356502,B,138500,500
187,93000040,356506,B,140000,500
188,93000040,356541,B,140300,200
189,93000040,356578,B,140000,400
190,93000040,356587,B,142700,4600
191,93000040,356694,B,140500,800
192,93000040,356721,B,140000,1000
193,93000040,356747,B,142000,900
194,93000040,356777,B,136300,2000
195,93000040,356826,B,138900,300
196,93000040,356847,B,140100,7000
197,93000040,356896,B,139400,17500
198,93000040,356988,B,138000,200
199,93000040,356994,B,137000,100
200,93000040,357028,B,140600,500
201,93000040,357066,B,140800,10000
202,93000040,357074,B,140000,1000
203,93000040,357303,B,132000,100
204,93000040,357382,S,139900,500
205,93000040,357423,B,163200,100
206,93000040,357438,B,144000,2100
207,93000040,357461,S,139900,3000
208,93000040,357555,S,139900,400
209,93000040,357568,B,140800,1000
210,93000040,357607,B,140800,700
211,93000040,357613,B,140800,2300
212,93000040,357634,B,131000,200
213,93000040,357681,B,140000,200
214,93000040,357709,S,160000,100
215,93000040,357732,B,140000,200
216,93000040,357749,S,162000,700
217,93000040,357784,B,140000,100
218,93000040,357843,B,138600,600
219,93000040,357886,B,140000,8000
220,93000040,357936,B,140000,300
221,93000040,357942,B,137500,1000
222,93000040,358100,S,139200,300
223,93000040,358194,S,140000,400
224,93000040,358310,B,140000,1000
225,93000040,358351,B,140000,100
226,93000040,358496,S,139800,1100
227,93000050,202822,C,150000,51600
228,93000050,223581,C,149500,4800
229,93000050,237390,C,149600,9800
230,93000050,296847,C,141000,800
231,93000050,358601,B,140400,3700
232,93000050,358617,S,139700,1000
233,93000050,358705,S,139800,500
234,93000050,358709,S,162900,2000
235,93000050,358718,B,140000,1000
236,93000050,358916,S,138700,100
237,93000050,358967,B,142700,1000
238,93000050,359073,B,142700,2800
239,93000050,359092,S,139900,400
240,93000050,359110,B,140200,1800
241,93000050,359114,B,141000,1000
242,93000050,359171,B,142100,2800
243,93000050,359172,B,142100,10500
244,93000050,359173,B,142100,2700
245,93000050,359174,B,142100,1000
246,93000050,359175,B,142100,3100
247,93000050,359176,B,142100,7000
248,93000050,359180,B,140000,100
249,93000050,359190,B,143000,400
250,93000050,359395,S,149000,300
251,93000050,359416,B,141000,14500
252,93000050,359418,B,140500,200
253,93000050,359522,S,163000,3000
254,93000050,359541,B,140000,200
255,93000050,359548,S,139700,300
256,93000050,359619,B,146000,3600
257,93000050,359638,B,140000,100
258,93000050,359701,B,136500,2000
259,93000050,359866,S,138900,500
260,93000050,360052,B,139100,100
261,93000050,360153,B,136000,2200
262,93000050,360167,S,160000,8500
263,93000050,360169,S,139000,3300
264,93000060,242439,C,146300,12000
265,93000060,267769,C,145000,9700
266,93000060,274292,C,140800,10000
267,93000060,360308,B,150000,1700
268,93000060,360311,B,142600,3500
269,93000060,360424,S,137200,1000
270,93000060,360448,S,108800,200
271,93000060,360465,B,163200,200
272,93000060,360510,B,140000,400
273,93000060,360613,B,141000,100
274,93000060,360633,S,136100,1400
275,93000060,360714,B,140100,20000
276,93000060,360807,S,138000,7100
277,93000060,360888,B,139100,76600
278,93000060,361004,B,141300,2900
279,93000060,361072,B,141000,1000
280,93000060,361244,B,140000,1000
281,93000060,361284,B,140100,700
282,93000060,361297,B,139100,300
283,93000060,361303,B,131200,10000
284,93000060,361371,B,138100,2000
285,93000060,361526,S,142800,35200
286,93000060,361545,S,139400,13800
287,93000060,361614,S,138000,1200
288,93000070,243159,C,143800,600
289,93000070,271215,C,142800,3000
290,93000070,284027,C,141100,500
291,93000070,358194,C,140000,400
292,93000070,361631,B,135100,200
293,93000070,361632,S,146000,1000
294,93000070,361748,S,138900,100
295,93000070,361791,B,136300,1000
296,93000070,361828,B,140100,1100
297,93000070,361872,B,135000,100
298,93000070,361992,B,138800,3800
299,93000070,362046,B,140400,9300
300,93000070,362092,B,140000,200
301,93000070,362106,S,142800,15000
302,93000070,362109,B,142500,100
303,93000070,362169,B,141000,200
304,93000070,362187,S,138900,500
305,93000070,362188,S,142900,15000
306,93000070,362201,B,123000,300
307,93000070,362203,B,140000,400
308,93000070,362209,S,143000,15000
309,93000070,362210,S,143400,15000
310,93000070,362235,B,141000,3000
311,93000070,362313,B,140400,2300
312,93000070,362321,B,140100,1000
313,93000070,362384,S,139900,500
314,93000070,362385,B,140200,500
315,93000070,362449,B,141000,600
316,93000070,362488,B,133100,18200
317,93000070,362510,S,139000,300
318,93000070,362537,B,146000,2000
319,93000070,362547,S,148000,900
320,93000070,362719,B,142600,2000
321,93000070,362869,S,148600,1200
322,93000070,362897,S,139900,200
323,93000070,362913,S,155000,300
324,93000070,362963,S,158000,400
325,93000070,363076,S,137900,3800
326,93000070,363085,S,140000,100
327,93000080,161754,C,150500,2000
328,93000080,189436,C,150500,1000
329,93000080,215961,C,150000,2000
330,93000080,217405,C,147400,1200
331,93000080,255902,C,146800,500
332,93000080,274302,C,142000,400
333,93000080,363123,B,139700,100
334,93000080,363137,B,142300,200
335,93000080,363189,B,140000,2000
336,93000080,363258,B,140000,1000
337,93000080,363271,B,138200,100
338,93000080,363275,B,139900,800
339,93000080,363457,B,134600,400
340,93000080,363500,S,140000,13500
341,93000080,363608,B,139900,1800
342,93000080,363612,B,140100,400
343,93000080,363669,S,149000,600
344,93000080,363689,B,140000,5000
345,93000080,363698,B,140000,400
346,93000080,363719,B,140000,200
347,93000080,363731,B,131000,700
348,93000080,363750,B,139100,200
349,93000080,363799,S,150000,1800
350,93000080,363820,B,142400,3000
351,93000080,363832,B,145000,1100
352,93000080,363833,B,140000,300
353,93000080,363919,B,135000,2000
354,93000080,363973,S,139900,3600
355,93000080,363974,B,130100,5800
356,93000080,364129,B,140500,200
357,93000080,364183,B,140000,1700
358,93000080,364193,B,140200,2100
359,93000080,364204,B,140000,1000
360,93000080,364234,S,108800,3700
361,93000080,364293,B,140100,300
362,93000080,364366,B,140000,100
363,93000080,364408,B,140100,1900
364,93000080,364419,S,140300,700
365,93000080,364574,B,140000,200
366,93000080,364601,B,140600,3100
367,93000080,364614,S,137300,1000
368,93000080,364632,S,139000,5600
369,93000080,364686,B,132500,400
370,93000080,364738,S,139000,1000
371,93000080,364747,S,160900,1600
372,93000080,364749,S,136000,1000
373,93000080,364831,S,139800,9900
374,93000080,364849,S,143900,300
375,93000080,364857,S,163200,1200
376,93000090,261733,C,146300,7100
377,93000090,274206,C,140800,1000
378,93000090,288699,C,140900,500
379,93000090,364234,C,108800,3700
380,93000090,364941,S,108800,400
381,93000090,364956,S,163200,64500
382,93000090,364984,S,139900,2000
383,93000090,365049,S,139600,1000
384,93000090,365142,B,140000,5000
385,93000090,365146,B,140000,100
386,93000090,365179,B,140000,5100
387,93000090,365190,B,140400,2000
388,93000090,365235,B,140300,100
389,93000090,365240,B,140100,1400
390,93000090,365286,B,140000,500
391,93000090,365290,S,141000,13800
392,93000090,365309,B,140000,500
393,93000090,365369,B,138600,300
394,93000090,365392,B,126000,6000
395,93000090,365414,B,138900,500
396,93000090,365423,B,140400,2000
397,93000090,365464,B,140000,200
398,93000090,365590,B,138900,100
399,93000090,365629,B,140100,3500
400,93000090,365678,S,10000,600
401,93000090,365833,B,149900,1200
402,93000090,365873,B,140000,6800
403,93000090,365890,S,146000,5000
404,93000090,365913,B,140100,500
405,93000090,365918,B,140000,100
406,93000090,365929,B,140000,200
407,93000090,365982,B,129400,1100
408,93000090,365985,B,141400,600
409,93000090,366007,B,140100,1400
410,93000090,366017,B,140000,79100
411,93000090,366103,B,140000,100
412,93000090,366107,B,126000,50000
413,93000090,366108,B,141700,8000
414,93000090,366123,B,140100,4000
415,93000090,366150,B,130500,1000
416,93000090,366209,B,140300,400
417,93000090,366255,S,136000,3300
418,93000090,366305,B,140000,100
419,93000090,366308,S,139800,100
420,93000090,366375,B,136000,1000
421,93000090,366431,B,140500,10600
422,93000090,366460,B,137000,200
423,93000090,366469,B,140000,200
424,93000090,366528,B,142900,2100
425,93000090,366685,S,139000,700
426,93000090,366688,B,140200,200
427,93000090,366699,B,140400,1300
428,93000100,194682,C,150200,1500
429,93000100,233050,C,142000,1200
430,93000100,252228,C,149800,2000
431,93000100,259963,C,144000,30000
432,93000100,366939,B,142600,4100
433,93000100,366997,B,138800,700
434,93000100,367028,B,140300,200
435,93000100,367080,S,163200,800
436,93000100,367121,S,139500,500
437,93000100,367223,B,141100,900
438,93000100,367243,B,163200,700
439,93000100,367253,B,140400,100
440,93000100,367259,B,140100,200
441,93000100,367271,B,140800,500
442,93000100,367349,B,140000,1000
443,93000100,367382,S,139900,5000
444,93000100,367393,B,141000,1000
445,93000100,367407,B,140400,500
446,93000100,367411,S,151400,3700
447,93000100,367509,B,140200,1500
448,93000100,367645,S,138700,2000
449,93000100,367736,B,140400,400
450,93000100,367803,B,140000,300
451,93000100,367813,S,140000,5300
452,93000100,367835,S,137100,300
453,93000100,367882,B,143500,100
454,93000100,367950,B,141800,800
455,93000100,368147,B,140000,1200
456,93000100,368251,S,139900,5000
457,93000100,368355,B,140000,4200
458,93000100,368365,B,142000,2500
459,93000100,368462,B,140000,800
460,93000100,368464,B,163200,900
461,93000100,368487,S,139200,400
462,93000100,368527,S,163200,6700
463,93000100,368572,B,140200,100
464,93000110,107096,C,136000,200
465,93000110,159014,C,150500,3000
466,93000110,211491,C,150000,7300
467,93000110,218252,C,131000,100
468,93000110,250801,C,147000,100
469,93000110,368645,B,142000,700
470,93000110,368696,B,140100,200
471,93000110,368717,B,140000,100
472,93000110,368750,S,143800,1000
473,93000110,368845,B,145000,1400
474,93000110,368963,S,141900,1000
475,93000110,368999,S,139600,1000
476,93000110,369051,B,137300,200
477,93000110,369131,B,142800,800
478,93000110,369192,B,140000,200
479,93000110,369208,S,141000,100
480,93000110,369223,B,140000,200
481,93000110,369264,B,140000,200
482,93000110,369303,S,163200,900
483,93000110,369345,S,139800,100
484,93000110,369437,B,140000,1100
485,93000110,369488,S,140000,500
486,93000110,369537,B,139200,200
487,93000110,369544,B,130000,300
488,93000110,369588,B,140000,100
489,93000110,369592,B,140000,200
490,93000110,369618,S,140100,1000
491,93000110,369628,S,135000,10200
492,93000110,369649,B,140500,800
493,93000110,369710,B,140400,3200
494,93000110,369728,B,139500,300
495,93000110,369741,B,138100,1000
496,93000110,369759,B,136000,600
497,93000110,369827,B,140000,300
498,93000110,369841,B,140000,200
499,93000110,369846,B,140000,84100
500,93000110,369860,B,136900,1500
501,93000110,369868,B,138500,1000
502,93000110,369873,S,139900,9600
503,93000110,369937,B,136000,500
504,93000110,369945,B,141000,800
505,93000110,370001,B,163200,300
506,93000110,370057,B,142700,400
507,93000110,370147,S,140600,4000
508,93000110,370154,S,141000,100
509,93000110,370168,B,130600,500
510,93000110,370232,S,141000,1300
511,93000110,370245,B,138000,10000
512,93000110,370311,B,140100,100
513,93000110,370393,B,148100,700
514,93000110,370411,B,140000,400
515,93000120,257351,C,147900,4100
516,93000120,277798,C,142800,2000
517,93000120,370451,B,140000,100
518,93000120,370470,S,139900,100
519,93000120,370476,B,140500,2200
520,93000120,370486,S,139900,1900
521,93000120,370510,B,140000,2000
522,93000120,370735,B,144900,1000
523,93000120,370783,S,139500,100
524,93000120,370785,B,144200,200
525,93000120,370817,S,139900,3000
526,93000120,370866,B,140000,100
527,93000120,370887,S,140400,1000
528,93000120,370990,S,161800,2000
529,93000120,371037,B,139300,1000
530,93000120,371131,B,130000,1000
531,93000120,371162,S,139900,23300
532,93000120,371182,S,139900,5500
