重庆菲尔特网络科技有限公司,
连云港儒房房地产经纪有限公司,1年
华夏银行股份有限公司连云港分行,
美团配送合作商,
连云港汇成海网络科技有限公司,1年
江苏久千谷贸易有限公司,1年
连云港林有矿美容服务有限公司,1年
常熟市汤普健身有限公司,3年
南京德汇通信技术有限公司连云港分公司,1年
青岛快乐生活配送服务有限公司,
青岛快乐生活（美团外卖）,
中国平安人寿保险股份有限公司连云港中心支公司灌云营销服务部,1年
连云港美卡文化传媒有限公司,2年
连云港恩善形象管理有限公司,1年
连云港阔达传媒有限公司,1年
中国光大银行股份有限公司南京分行,
连云港石化有限公司,2年
连云区卡诺亚全屋定制建筑材料经营部,2年
海州区苍梧社区茉兰美容院,1年
连云港恒享家房地产经纪有限公司,1年
连云港天佑纺织机械有限公司,3年
江苏佰美信息科技有限公司,1年
连云港俏妞妈食品有限公司,1年
连云港博瑞新能源科技有限公司,1年
海州区韵芸芝美容店,2年
天津新速达信息技术有限公司,
江苏新能新材料有限公司,1年
连云港久长物流有限公司,1年
连云港市沃佳房产策划营销有限公司,1年
连云港市先河房地产经纪有限公司,1年
连云港开发区人力资源开发有限公司,
连云港市港城嘉宴企业管理有限公司,1年
连云港迪唛文化传媒有限公司,1年
海州区贾圩社区金徳福珠宝店,2年
连云港万众企业管理有限公司,1年
连云港新福达汽车销售服务有限公司,1年
南京速达畅运物流有限公司,
连云港广津合商贸有限公司,2年
连云港固美格家具有限公司,1年
江苏智者网络科技有限公司,2年
江苏润融企业管理咨询服务有限公司连云港分公司,1年
番禺珠江钢管（连云港）有限公司,6年
海州区秀惑美容店,2年
海州区果然优品农产品店,1年
深圳万乘联合投资有限公司连云港分公司,2年
连云港龙塔研磨材料有限公司,2年
江苏建院欧野科技有限公司,2年
徐州玛所贸易有限公司,3年
连云港郁州骨科医院有限公司,1年
连云港水表有限公司,1年
江苏松霖餐饮有限公司,1年
南京联惠信息科技有限公司,1年
连云港市连云区福奈特洗衣店,1年
连云港泰厚建设有限公司,
连云港久伍装饰工程有限公司,4年
北京金辉锦江物业服务有限公司连云港分公司,2年
连云港都可餐饮管理有限公司,8年
连云港金戈艺风文化传播有限公司,1年
新浦经济开发区蓝灰红家具厂,2年
连云港恒源大药房连锁有限公司,1年
连云港科西嘉贸易有限公司,1年
海州区延东社区王志宇家居用品经营部,1年
江苏天马网络科技集团有限公司,
