禧玛诺（连云港）实业有限公司…,2年
连云港金喜鹊餐饮管理有限公司,1年
连云港启创铝制品制造有限公司,2年
连云港皓盛人力资源有限公司,
连云港新雨阳光新能源有限公司,2年
连云港康华汽车销售服务有限公司,2年
连云港拓海人力资源有限公司,
连云港水表有限公司,1年
连云港市川帛国际贸易有限公司,1年
南京速必达物流科技有限公司,
连云港志衡物业管理有限公司,1年
连云港云瑞登风课外培训有限公司,1年
大陆汽车电子（连云港）有限公司,
连云港及物鸟皮具有限公司,1年
连云港知图知识产权代理有限公司,2年
南京德汇通信技术有限公司连云…,1年
上海金辉汽车租赁有限公司,
连云港安叉工程机械销售有限公司,1年
连云港龙河盛世营销策划有限公司,1年
兴隆鲜果园,3年
海州区张占明奶茶加盟店,1年
连云港千牛商贸有限公司,
连云港厚生餐饮服务有限公司,
江苏红动服饰有限公司,1年
徐州福瑞德酒店管理有限公司,
江苏铭洸燃气有限公司,1年
江苏康济大药房连锁有限公司,2年
连云港两个桃子网络科技有限公司,2年
美团配送合作商,
艾尚美美容科技（连云港）有限…,1年
连云港汇成海网络科技有限公司,1年
连云港新世洗浴休闲有限公司,2年
青岛快乐生活配送服务有限公司,
海州区新桥社区润吉汽车经营部,1年
连云港久巨文化传播有限公司,1年
连云港任记状元餐饮管理有限公司,1年
海州区宁青黛美容店,1年
海州区玉带社区琪雅美容美体工…,1年
连云港随顺装饰工程有限公司,1年
连云港儒房房地产经纪有限公司,1年
苏州网鱼网咖信息科技有限公司,
江苏华杰教育科技集团股份有限…,1年
赣榆区青口镇印象派茶餐厅,1年
赣榆区青口镇文晴美容店,1年
赣榆区青口镇青花餐饮店,1年
天津便利达快递服务有限公司,
江苏钱好赚文化传媒有限公司,
连云港唐弓丰田汽车销售服务有…,3年
新沂市酷酷文化传媒有限公司,1年
连云港瑞创物业管理有限公司,1年
连云港恒享家房地产经纪有限公司,1年
蓝堡健身会所瓜沥店,3年
连云区卡诺亚全屋定制建筑材料…,2年
连云港金陵神州宾馆有限公司,1年
连云港启创通信工程有限公司,1年
连云港宅小仙电子商务有限公司,4年
连云港市毛孩餐饮管理有限公司,6年
连云港欧倍洁医疗设备有限公司,4年
连云港市华隆电器科技有限公司,1年
青岛快乐生活（美团外卖）,
赣榆区青口镇金润泽农资经营部,3年
江苏鑫港业供应链管理有限公司,1年
天津新速达信息技术有限公司,
南京太上餐饮管理有限公司,1年
河北平溪物业服务有限公司,
苏州鸿悦人力资源有限公司,
立讯精密有限公司,
苏州盛邦服务外包有限公司,
苏州智宏展人力资源有限公司,
新浦区巨龙社区小黄帽汽车用品…,
苏州揽途企业管理有限公司,
立讯精密工业（苏州）有限公司,
美特科技（苏州）有限公司,
苏州国盛人才服务有限公司,
江苏港开房地产开发有限公司,1年
立讯精密科技有限公司,
江西华才人力资源有限公司,
连云港新念想餐饮管理有限公司,
杭州英超人力资源有限公司,
理想,
苏州华芯微电子股份有限公司,
天津亨泰新物流有限公司,
广西瑞民人力资源有限公司南宁…,
达丰电子有限公司,
三星电子有限公司,
国企,
