nan,nan,22.0032,0.2983,0.7276,nan,1.9954,3.9194,1.4322,1.6911,4.283,nan,19.4238,1.7093,1.6229,nan,nan,2.9032,2.1807,0.7806,0.1999,0.1099,0.1018,0.0881,0.0865,0.0675
nan,nan,nan,0.7063,1.1764,nan,0.856,1.17,0.9941,0.7276,1.4016,nan,0.4025,0.3042,0.4088,4.1975,nan,1.1555,0.2049,0.2438,0.1421,0.0745,0.0681,0.0626,0.0571,0.0491
nan,nan,8.543,5.8978,1.3786,0.7853,0.5728,0.45,0.4161,0.3895,0.3536,0.7255,0.298,0.278,0.2005,0.4709,1.0702,1.078,0.1488,0.1774,0.5024,0.0648,0.0497,0.0473,0.0451,0.041
nan,nan,nan,nan,nan,0.8464,0.426,0.3171,0.2373,0.1905,0.2261,0.4167,0.2301,0.1428,0.1807,0.5569,0.8164,0.492,0.3134,0.4937,0.3062,0.0954,0.0778,0.0885,0.0769,0.0807
nan,nan,54.6057,12.1563,0.6544,0.5589,0.4616,0.2703,0.1909,0.1594,0.2077,0.1534,0.1387,0.1293,0.1663,0.4906,1.8123,0.3556,2.3455,0.9161,0.198,0.148,0.125,0.0884,0.0826,0.0802
nan,0.4911,39.6479,0.1951,0.6341,0.3644,0.2871,0.1783,0.1669,0.186,0.1508,0.1288,0.137,0.1503,0.1631,0.156,0.793,1.999,1.9959,0.9932,0.2056,0.1695,0.5032,0.4431,0.2899,0.1713
nan,11.4799,0.5609,0.3689,0.1159,0.1256,0.1965,0.1606,0.2182,0.172,0.1365,0.0969,0.1066,0.1142,0.145,0.1192,0.1066,0.4153,0.3057,0.2172,0.1711,0.1299,0.2277,1.1451,1.1364,0.2544
nan,15.2658,0.8666,7.5663,0.139,0.2397,0.0911,0.0698,0.1121,0.0843,0.0673,0.054,0.0555,0.0664,0.0697,0.0785,0.095,0.0922,0.0915,0.0956,0.138,0.3584,0.4467,0.3867,0.4108,0.0957
nan,28.8313,20.6018,0.4805,0.2673,0.6463,0.0653,0.0536,0.0456,0.041,0.0404,0.0474,0.0508,0.0506,0.0578,0.0623,0.078,0.085,0.0856,0.1538,0.4056,10.213,nan,0.9695,0.7561,0.182
nan,nan,1.5444,0.141,0.1821,0.1567,0.0718,0.065,0.0478,0.0373,0.033,0.0328,0.0343,0.0361,0.0407,0.048,0.0581,0.0822,0.186,1.4852,nan,nan,nan,nan,nan,0.5846
nan,nan,0.2116,0.0884,0.127,0.1734,0.0993,0.0694,0.0541,0.0458,0.0427,0.0324,0.0285,0.03,0.0307,0.0386,0.0484,0.0804,0.291,nan,nan,nan,nan,nan,nan,nan
1.1803,0.5133,0.1247,0.0995,0.097,0.0945,0.0801,0.0721,0.0555,0.0501,0.0488,0.0401,0.0509,0.0478,0.0599,0.0591,0.0771,0.0731,0.1222,0.2566,0.1552,0.1953,0.2218,0.9145,nan,nan
0.2582,0.2479,0.243,0.2239,0.1937,0.2075,0.1802,0.2142,0.2175,0.191,0.1979,0.157,0.1562,0.1374,0.1338,0.1392,0.1274,0.1255,0.1577,0.1873,0.2389,0.1936,0.2172,0.1835,0.2491,0.3527
0.5915,0.6018,0.464,0.673,0.4684,0.4428,0.3648,0.3494,0.3927,0.3731,0.3925,0.3594,0.2888,0.2298,0.211,0.1864,0.2013,0.1998,0.1822,0.1841,0.2069,0.1952,0.2068,0.2012,0.2869,0.4154
