购买方名称,发票号码,发票日期,销售方名称,服务名称,数量,单价,总价,税率,税额
台州市任性网络技术有限公司,04495591,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04446178,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04446440,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04446450,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04447503,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04447665,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04448347,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04448571,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04448742,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04448962,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04449504,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04449505,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04449690,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04493899,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04495471,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04495476,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04495599,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04495816,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04496127,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04496717,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04496826,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04497074,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04497920,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04497995,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04498338,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04498728,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04500102,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04500428,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04502115,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州任性网络技术有限公司第三分公司,04505508,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州秋雨文化创意有限公司,04460854,2022年02月17日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
杭州聚热网络科技有限公司,04494590,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
泰安卓成网络科技有限公司,04446289,2022年02月18日,深圳市腾讯计算机系统有限公司,*其他软件服务*微信平台服务,1,283.02,283.02,6%,16.98
