序号,书名,作者,出版年份,链接
1,Python编程 : 从入门到实践（第2版）,[美]埃里克·马瑟斯（Eric Matthes） , 2020-10 ,https://book.douban.com/subject/35196328/
2,流畅的Python,[巴西] Luciano Ramalho , 2017-5-15 ,https://book.douban.com/subject/27028517/
3,Python编程快速上手（第2版） : 让繁琐工作自动化,[美] Al Sweigart , 2021-3-1 ,https://book.douban.com/subject/35387685/
4,深入浅出Pandas : 利用Python进行数据处理与分析,李庆辉 , 2021-7-10 ,https://book.douban.com/subject/35520512/
5,Effective Python : 编写高质量 Python 代码的 90 个有效方法（原书第 2 版）,[美] 布雷特·斯拉特金 , 2021-1 ,https://book.douban.com/subject/35334595/
6,Python数据科学手册,[美] Jake VanderPlas , 2018-1-20 ,https://book.douban.com/subject/27667378/
7,Python编程 : 从入门到实践,[美] 埃里克·马瑟斯 , 2016-7-1 ,https://book.douban.com/subject/26829016/
8,Python Cookbook 中文版（第3版）,David M. Beazley , 2015-5-1 ,https://book.douban.com/subject/26381341/
9,利用Python进行数据分析,Wes McKinney , 2013-11-18 ,https://book.douban.com/subject/25779298/
10,Python学习手册 : （第3版）,Mark Lutz , 2009-8 ,https://book.douban.com/subject/3948354/
11,Python自动化办公 : 3分钟完成一天工作,廖茂文 , 2021-6 ,https://book.douban.com/subject/35514488/
12,Python 3网络爬虫开发实战,崔庆才 , 2018-4 ,https://book.douban.com/subject/30175598/
13,Python大数据分析与机器学习商业案例实战,王宇韬 , 2020-6-1 ,https://book.douban.com/subject/35105377/
14,Python编程初学者指南,[美]Michael Dawson , 2014-10-1,https://book.douban.com/subject/26287445/
15,Python 3学习笔记（上卷）,雨痕 , 2018-1 ,https://book.douban.com/subject/28509425/
16,Python基础教程（第2版）,Magnus Lie Hetland , 2010-7 ,https://book.douban.com/subject/4866934/
17,算法精粹 经典计算机科学问题的Python实现,[美] 大卫·科帕克（David Kopec） , 2020-7 ,https://book.douban.com/subject/35093446/
18,深度学习入门 : 基于Python的理论与实现,[ 日］ 斋藤康毅 , 2018-7 ,https://book.douban.com/subject/30270959/
19,Python源码剖析 : 深度探索动态语言核心技术,陈儒 , 2008-6 ,https://book.douban.com/subject/3117898/
20,Python神经网络编程,[英]塔里克·拉希德（Tariq Rashid） , 2018-4 ,https://book.douban.com/subject/30192800/
21,Python金融衍生品大数据分析 : 建模、模拟、校准与对冲,[德] Yves Hilpisch , 2017-8 ,https://book.douban.com/subject/27084134/
22,Python极客项目编程,Mahesh Venkitachalam , 2017-5 ,https://book.douban.com/subject/27050630/
23,Python股票量化交易从入门到实践,袁霄 , 2020-7 ,https://book.douban.com/subject/35094020/
24,"Learning Python, 5th Edition",Mark Lutz , 2013-7-6 ,https://book.douban.com/subject/22139956/
25,Python编程快速上手 : 让繁琐工作自动化,Al Sweigart , 2016-7-1 ,https://book.douban.com/subject/26836700/
26,利用Python进行数据分析（原书第2版）,[美] Wes McKinney , 2018-7 ,https://book.douban.com/subject/30283996/
27,笨办法学 Python 3,[美] Zed A. Shaw , 2018-6-1 ,https://book.douban.com/subject/30237842/
28,Python语言及其应用,[美] Bill Lubanovic , 2016-1 ,https://book.douban.com/subject/26675127/
29,Python核心编程（第3版）,[美] Wesley Chun , 2016-5 ,https://book.douban.com/subject/26801374/
30,“笨办法”学Python（第3版）,Zed A.Shaw , 2014-11-1 ,https://book.douban.com/subject/26264642/
31,Python科学计算（第2版）,张若愚 , 2016-4-29 ,https://book.douban.com/subject/26784317/
32,Head First Python（中文版） : Head First Python,巴里（Barry.P.） , 2012-3-1 ,https://book.douban.com/subject/10561367/
