词语,频率
北京,83
工作,78
中国,59
编辑,49
建设,47
教材,43
方言,41
国家,40
新,40
疫情,40
冬奥会,40
日电,37
组织,37
社会,37
教育,37
冬奥,36
2021,35
发展,32
2022,32
服务,32
列车,31
完,31
崇礼,31
保障,30
中新网,30
中心,30
铁路,29
法院,28
介绍,27
小珠,27
经济,26
工程,24
提升,24
企业,24
文化,24
时间,23
村,23
一个,23
浙江省,23
全国,22
持续,22
养殖,22
冰雪,22
太原,22
重点,21
单位,21
摄,21
提供,21
美国,21
相关,21
案件,21
推进,20
区域,20
网络,20
好,20
防控,20
冬,20
测评,20
全球,20
犯罪,19
诈骗,19
清,19
技术,19
数据,19
班列,19
宁波,19
农村,18
口岸,18
人员,18
涉台,18
制造业,18
指导,17
达,17
确诊,17
发现,17
超高,17
情况,17
高铁,17
5G,17
总台,17
影响,16
管理,16
运动员,16
活动,16
病例,16
高等学历,16
站,16
公里,16
检察,16
进一步,15
包括,15
提高,15
增长,15
集团,15
有限公司,15
现场,15
运动,15
综合,15
方式,15
岁,15
电信,15
例,15
系统,15
九妹,15
元宝,15
舟山,15
港,15
头盔,15
水网,14
运行,14
科技,14
新冠,14
推动,14
检测,14
网箱,14
深圳,14
残奥会,14
非法,14
搜救,14
管控,14
时代,14
芦美嘉,14
快递,14
实施,13
苑,13
菁菁,13
累计,13
旅客,13
RCEP,13
健康,13
团队,13
核酸,13
研究,13
打造,13
生产,13
筹办,13
平台,13
消息,13
采访,13
确保,13
遗址,13
数字,13
保护,12
呈现,12
物流,12
隔离,12
协调,12
黄河,12
奥运,12
项目,12
设备,12
均,12
素质,12
北京市,12
副,12
直播,12
大学,12
创新,12
展示,12
采用,12
12,12
队员,12
制造,12
叶攀,12
法庭,12
电影,12
集卡,12
能力,11
设计,11
货物,11
海关,11
医院,11
黄钰涵,11
采样,11
风险,11
地区,11
图为,11
世界,11
媒体,11
国际,11
学校,11
这是,11
选用,11
支持,11
演播室,11
中央,11
全市,11
20,11
越来越,11
自杀,11
影片,11
污水,11
受,10
无,10
增强,10
领导,10
措施,10
列,10
中老,10
历史,10
集装箱,10
30,10
政策,10
主任,10
区,10
质量,10
低,10
14,10
中小学生,10
机构,10
报道,10
首次,10
行业,10
目标,10
稳定,10
体验,10
融合,10
产品,10
名,10
开,10
福州,10
党组,10
会议,10
绝望,10
人数,10
党中央,10
冰场,10
王威鹏,10
同比,10
马跃峰,10
考生,10
带来,9
意见,9
体系,9
数字化,9
化,9
10,9
版,9
开通,9
顺利,9
成本,9
生效,9
获悉,9
群体,9
习近平,9
人民,9
主席,9
党,9
特色,9
生活,9
等级,9
联合,9
鲑,9
鳟鱼,9
约,9
正式,9
天,9
部门,9
学生,9
近日,9
计划,9
接受,9
标准,9
学习,9
希望,9
通知,9
机制,9
规划,9
政治,9
国际奥委会,9
观众,9
智能,9
分钟,9
座,9
台胞,9
探索,9
市,9
干部,9
下降,9
药物,9
永康市,9
文物保护,9
南航,9
特战,9
乡村,9
振兴,9
形象,9
司机,9
博物馆,9
污水处理,9
集体,8
水,8
生态,8
完善,8
动车组,8
运输,8
孩子,8
防疫,8
点,8
绿色,8
11,8
仍,8
正,8
处于,8
街道,8
北,8
尖扎县,8
米,8
冷水,8
鱼,8
保证,8
担当,8
基地,8
高,8
考察,8
场馆,8
助力,8
厂,8
利用,8
执法人员,8
合作,8
参与,8
指出,8
政府,8
巴赫,8
一年,8
视频,8
审核,8
功能,8
考试,8
落实,8
清河,8
广播电视,8
时速,8
基础,8
太子,8
电商,8
共,8
台湾地区,8
诉讼,8
外,8
声,8
报告,8
各项,8
维护,8
率,8
该市,8
启动,8
满洲里,8
文物,8
花样滑冰,8
车载,8
便民,8
张宝金,8
大连,8
复苏,8
过程,7
旅游,7
制作,7
一批,7
供水,7
智慧,7
优化,7
新增,7
提出,7
构建,7
现有,7
通道,7
国内,7
大幅,7
协定,7
开放,7
处,7
负责,7
压力,7
效率,7
肺炎,7
调整,7
孙静波,7
水面,7
拥有,7
责任,7
2020,7
万元,7
精彩,7
备赛,7
信息,7
训练,7
专项,7
艺术,7
地方,7
纳入,7
当地,7
很多,7
一名,7
经验,7
基层,7
编写,7
高等教育,7
设立,7
350,7
长时间,7
故事,7
设置,7
次,7
书记,7
新闻,7
检察机关,7
死亡,7
浙江,7
资本主义,7
过量,7
金华市,7
筛查,7
型,7
夏家店,7
流程,7
A350,7
座椅,7
钉,7
业务,7
研发,7
百年,7
凭祥,7
审判,7
农民,7
东北,7
太原市,7
采集,7
当事人,7
王金峰,7
永康,7
崇福,7
万亿元,7
