名称,评分,图片地址,评论数,价格,标签,,,,,
天青屿山-海景大床房-天台观海看日出-连住车接-近曾厝垵，投影，浴缸，可做饭，电梯，散步到海边,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-50528599/original/a2fc574a-844c-46a4-b092-fb0fb9fb6bdd.jpeg?aki_policy=large,21,￥288,"整套公寓型住宅,  · 1室1卫1床",,,,,
「天台海景」「投影仪」近曾厝垵/厦门大学/沙坡尾/植物园/环岛路/鼓浪屿,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-50645294/original/202fa477-1d66-452c-83c9-35f71cc7561c.jpeg?aki_policy=large,141,￥158,"精品酒店客房,  · 1室1卫1床",,,,,
「窗外山景」「投影仪」近曾厝垵/厦门大学/沙坡尾/植物园/环岛路/鼓浪屿,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-50645465/original/03e2fef4-5366-49f8-94ee-1f2c90e62beb.jpeg?aki_policy=large,100,￥196,"酒店房间,  · 1室1卫1床",,,,,
?《Nata海边民宿》设计师推荐大床房，曾厝垵海边   环岛路  厦门大学胡里山炮台 沙波尾,4.9,https://z1.muscache.cn/im/pictures/miso/Hosting-51242785/original/266db943-77e4-4ee8-b2c2-ae3f96d6e897.jpeg?aki_policy=large,315,￥115,"独立房间,  · 1室1卫1床",,,,,
?【格格美宿】纯纯大床，紧邻曾厝垵小吃街，厦门大学，胡里山炮台，沙坡尾猫街等众多网红景点，出行便利,4.9,https://z1.muscache.cn/im/pictures/a619bf29-f929-4245-978a-954b76417e14.jpg?aki_policy=large,1370,￥124,"独立房间,  · 1室1卫1床",,,,,
?一张1.8米榻榻米大床。近厦门大学/曾厝垵/环岛路/中山路/鼓浪屿。(点击房东头像可看其他房源),4.7,https://z1.muscache.cn/im/pictures/b469fbe9-ec80-4ff7-a780-eeffc84843aa.jpg?aki_policy=large,2887,￥126,"独立房间,  · 1室1卫1床",,,,,
「散步海边3分钟」「近公交站」近国际会展中心/白城沙滩/厦门大学/曾厝安,4.7,https://z1.muscache.cn/im/pictures/miso/Hosting-48287539/original/5d274664-e419-4acd-95f6-5b1df7176abe.jpeg?aki_policy=large,418,￥174,"精品酒店客房,  · 1室1卫1床",,,,,
?设计师推荐大床房 近厦门大学 曾厝安 环岛路 胡里山炮台 点击头像可查看更多房源,4.7,https://z1.muscache.cn/im/pictures/7b226f7b-4959-45f0-bd09-75a7c7296c73.jpg?aki_policy=large,700,￥119,"独立房间,  · 1室1卫1床",,,,,
"?海边Lime民宿-设计师ins投影或电视大床,紧邻曾厝安小吃街，厦大，白城沙滩点击头像查看更多房源",4.9,https://z1.muscache.cn/im/pictures/be73e76d-eaf4-4aec-86b2-28b13b3d9699.jpg?aki_policy=large,4546,￥140,"客栈单间,  · 1室1卫1床",,,,,
[ 叁昧·Samadhi ]—LOFT复式公寓 BRT沿线速达机场动车站,4.7,https://z1.muscache.cn/im/pictures/f4be1426-5cd6-470f-8ddd-970112ba9655.jpg?aki_policy=large,105,￥150,"整套loft,  · 1室1卫1床",,,,,
