用户名,内容
小猪求职,进入大学的同学都知道，大学的生活不再像高中那样枯燥，每天除了吃饭睡觉就是学习。到了大学，生活变得丰富起来，最主要的是被管束了十几年的我们终于走了出来，终于可以自己安排自己的生活。但是刚进去大学的大多数人都不清楚自己未来的方向，因为大多数学生在整个成长过程中并没有一个完整的成长体系，少部分人在大学之前明白自己未来的生活方向和事业方向，所以考研和工作就会成为最主要的两个选择。而到了大四时，一般学校的老师或者一些其他人会鼓励大家考研，因为知道考研是相对成本比较小改变自己的机会。面对找工作和考研两个选择，前者对这些人来说无疑是畏惧的，他们在整个大学生活中并没有为自身积累可以进入社会的资本，我们知道社会相比于学校是残酷的，很简单的衣食住行就可以直接打倒这些人。所以面对选择，大多数人会选考研，于是就造成了大多数人跟风考研的现状。那么考研到底意味着什么呢？我们该如何看待这样的状况呢？一. 考研永远都只是途径，而不是目的。如果你期望工作的招聘要求是硕士学历及以上的话，可以选择考研。但如果你仅是想凭高学历来给自己镀金，并且还没有做好职业规划的话，建议还是暂且先不要考了。学历给人的作用就好比吃饭穿衣，首先我们要有衣服穿，简洁大方得体是关键。若是穿衣本着“穿给别人看”的目的，那就本末倒置了。考研也是如此，关键还是要看个人能力，把更多时间用在提升自己解决问题的能力上。在向更高一层次的学历进攻前，一定要先想好自己想要从事什么工作，做好职业规划，不要因为自己不知道想要什么就不去想了，不然这就是在逃避。如果只是为了毕业后不想费劲工作，建议还是不要考研了。这样还不如去找工作锻炼自己。找不到全职就先从实习开始。一点点积累工作经验，也会慢慢好起来的。二. 不要希望通过考研来实现转行。想学什么可以立即去搜索做调研，先学起来再说，不一定非要读个硕士博士，拿到学位了才算有资格入行，这样做成本太高，太不值得了。人生最重要的还是时间，在你没有决定好权重就把好几年时光放到考研读研上最后的结果还不是你想要的，那就太得不偿失了。况且学历是最低级的增值手段，远比不上自主学习知识和在实际工作中积累能力带给人的提升多。如果是想通过考研重新开启校园生活，挽回曾经颓废造成的损失和遗憾，主动学习有用的知识，找实习工作，为了以后能在更好的校招平台进入更好的公司，还是可以选择考研的。不过，此时还是不要盲目选择，而是要认真斟酌以下因素，具体考虑到考什么专业、院校所在城市以及是不是重点院校，每一个因素都会拉开很大差距。以上三个因素，按重要程度排序的话，个人认为是:城市＞院校＞专业。在北上广深这样的城市，你可以找到更多实习的机会，比如说找互联网公司的实习，如今互联网企业是蒸蒸日上；其次，是院校的选择。至于为什么院校的优先级比城市弱呢？因为好的院校太难考，城市的选择，相比考名校要容易的多，更容易达成目的。毕竟要清楚的认识到，从我们高考完那一刻起就没有老师手把手教我们解决问题了，一切都要靠自学了。而学校为我们提供了一个更适宜学习的环境。这一点很重要，毋庸置疑，一所好的院校完胜相对较差的院校。还有，名校的招牌会跟人一辈子。大企业也会更多地在优秀的院校里招毕业生。等到工作后，校友是拓展高质量人脉资源的有效途径。最后，才是专业的选择。这一点其实是相对来说比较无所谓的，因为国内高校的教学方式就注定了我们是不可能在大学学到可以直接应用到未来工作的知识的。因此，专业的考虑就要排在城市和院校的后面。所以说，别给自己设限，想做什么就去做，不喜欢的行业，想转行就大胆转，要相信自己的潜能，不断地学习，提升自我，才会变得越来越好。如果你只是单纯想读研，专业无所谓的话，那么就还是不要读研了，因为很明显你还没有做好职业规划，不要用战术勤奋掩盖战略懒惰。如果执意要读，那么最好做好调研，选一个工作量小容易毕业的专业，挑一个放养式管理的导师。因为这样你可以用更多的时间自主学习和找实习工作。三. 无论考研与否，都要利用好空闲时间学习有用的知识。我们要做好摆正心理态度——不管是选择工作，还是选择继续读研，人都是要学习一辈子的，这样才能把路越走越宽，否则就会经历一个逐渐把自己逼入绝境的过程。很多毕业生从学校出来后发现很多的知识无法运用到工作上，就业没有那么轻松。因此，在备战考研时也要熟悉市场行情，对于日后的工作需求也需要有些了解。有空时去逛一逛人才市场，看看有哪些基本的需求，跟面试的人聊一聊行业的发展情况等等。如果觉得去人才市场麻烦，可以看看互联网招聘平台，很容易就能全面掌握招聘信息，企业需要招聘什么样的人才，需要会哪些技能，日后这些都将是你找到好工作的一块敲门砖。简言之，如果为了更好地提升自己，考研自然是有百利无一害的。但是考研所消耗的时间与精力，是我们必须要好好考虑的，不能随便地盲目跟风考研。在决定考研之前，我们最好想一想，自己是否已经认清楚自己想要的，明确了自身考研的目的？对于自身明确的目标有没有做充足的准备？毕竟考研和高考是有本质上的不同的，高考你失败了你还可以有很大机会继续前半段的人生轨迹，整体环境是没有质变的，而考研失败，你就需要马上进入到社会中承担一些责任，你的人生轨迹开始发生整体的改变。所以，决定考研一定要慎重再慎重。但如果真的已经确定考虑好了，那么就平稳好自身的心态，去努力吧。考研是一段奋斗的经历，它足以让我们成长。
十九,如何看待大学生跟风似的考研？先说结论：不清楚自己自身情况，不结合社会实际，盲目考研者一律视为XX。  盲目劝你读研的，非蠢即坏。今年考研大军人数再创新高达到371万，高分扎堆。中科大软件学院400个400+令人惊叹。在这个内卷的时代，所有大学生都面临着一个同样的问题那就是学历焦虑。爸妈告诉我们现在本科生已经不值钱了，企业招聘那起码都得要研究生。还有些考研机构故意把考研“神化”大放厥词称“考研是对青春的救赎”。这么说来难道我就必须考研？很多高校喜欢把深造率高当做噱头吹，鼓励学生考研。很多学生从大一就开始准备，努力四年就为了一张研究生录取通知单。却很少有人想过自己适不适合读研？为什么读研？如果你坚信自己要读研，那么回答我几个问题。想好了再决定也不迟。一 你为什么要读研做事的动机往往非常重要，它决定了你是否能把事情做成。经过我对身边人的观察，我大致将考研人分为以下几类。 弥补高考遗憾型这类同学往往为自己高考没有发挥好，没有去往理想的大学而感到遗憾。我身边就有一个A同学。A同学今年大三，来自某个高考大省。总觉得自己高考失利来到我们学校，学校配不上他。可是他又不敢回去复读因为年龄成本和风险太大了。于是在大一就决定要考研去985名校。这类同学在大一的时候就确定了自己要考研，要上名校。很早就开始背考研单词刷高数题为考研做准备了。整个大学四年他们的主旋律就是考研。虽有可取之处，但无疑把大学四年又当成了高三来过且决策并不科学，可以说浪费了人生中最珍贵的四年时光。 别人考研我也考型这类就是所谓的考研气氛组同学。这类同学往往心里没有自己的想法，看见别人考研自己也要考。不了解就业前景和社会动态盲目考研。因为大学没有做好生涯规划，没有做好准备。秋招落水了。又经过某些考研机构的毒鸡汤洗脑，觉得我非得考上以证明自己是牛a与牛c之间的人物。美名其曰救赎自己的青春。实则只是为了逃避就业的压力，这类同学往往没有合理的规划也没有足够的动机，往往到了大四才随大流被动开始准备考研。且因为没有第一类同学坚定的信念。可能在备考过程中无法坚持下来。最后上岸几率很小，且错过了秋招的宝贵机会。这就是为了逃避就业压力而考研，俗称“安乐死型”。 理性考研型这类同学他们知道自己这个专业是自己喜欢的，并且这个专业在本科毕业后确实不好就业。比如说医学，法学。他们提升学历是为了更好的找到工作。或者是本科专业不好为了转行跨专业考研。他们心里都有自己的想法，这类同学读研目的明确，决策科学。是三种动机中我认为最可取的。二 你为何对学历如此焦虑？社会舆论的误导坊间流传着这样一句话：研究生遍地走，本科生多如狗。我甚至听过这样一句话：孩子，你听我说，不要想太多。能走多远走多远，能读到硕士就读到硕士。能读到博士就读到博士。这毒鸡汤真是害人不浅。你以为你登高呢？还能走多远走多远。难道生化环材天坑你还要建议人家继续读吗？社会上总是有这样一种说法：研究生毕业比本科生工资要多得多，但你有没有想过同样的三年你用来读研，人家用来增长工作经历。你毕业后可能人家就是你的直属上级。况且这句话太过于片面你可以在招聘网站上看一看，互联网大厂本科硕士基本一个价。缺乏就业指导我记得扬叔 @弗兰克扬 有这么一句话：如果你在学校里被学校安排了，那么你出去以后就会被社会安排的明明白白。假如你还是高中的那个乖小孩，大学里开不完的会，签不完的到会让你怀疑大学的意义。你越听话，留给你的自我支配时间越少。以后的人生 老师不可能对你负责，学校只是希望你在这几年里能听话能配合学校完成工作。谁会在意你的以后？而且大学生普遍缺乏就业指导。很多学校的所谓就业指导，不过是一些一辈子都呆在学校里的老师给你照本宣科讲几个老掉牙的案例。没有时效性作用几乎为零。甚至会误导你 。很多大四快毕业找工作的学生才意识到自己的准备远远不够，简历内容连半张纸都写不满。学历贬值学历贬值 嗯？所以才更要读研啊。错 大错特错。你会说我读了研一下能比本科多好几千，你咋不想想通货膨胀的速率呢。所谓的“五千块定律”就是指你现在拿五千块，实际上就相当于十年前普通大学生的白菜价2500。你的年龄越大，相应的企业的用人成本肯定也会更高。再说了，学历只是个门槛，公司要你干什么？不就是帮老板赚钱，成为工具人吗？我举个极端的例子，你换位思考，假如你是个老板，员工A是一家名牌大学毕业的，但他无法为公司创造相对应薪水的价值。而员工b虽然是个二流大学毕业的但人家比你更能给企业创造价值。人家还要钱少比你还能熬夜还比你听话。你是老板，你要缩小用人成本你选择哪个呢？结果显而易见。三 那么考研适合什么人呢？一 想要在高校中谋得教职的这条路相当卷，清华博士都只能去普本院校当老师，而且科研强度很高。二 真正尝试过科研 并且真心热爱科研的这里指的是本科就进实验室和导师做过长期科研的，并确定自己是真的喜欢的。三 家里暂时没有太多负担的读研相比于工作还是比较轻松的，且有个硕士学位在婚恋市场上确实具有一定的优越性。四 非常想要提升学历的 有名校情怀的。xx非清华不上 我一定要考上北大类似的。五 特殊工作需求 如算法工程师 律师等必须要研究生的岗位六 想进国企 公务员系统的。四 我们该怎么选择？我们大学生是一个非常迷茫的群体，我们每天接受着不同的信息来源，诸多的信息让我们难以选择。同时我们生存在一个象牙塔里，没有与社会接触的经验。处于一种封闭的“信息茧房”中。跟随内心的声音古希腊哲学家苏格拉底说过：“认识你自己”。认识你自己，选准自己的赛道。每个人都有自己的闪光点。很多人都想要读研，但中国百分之九十以上的大学生不适合做科研，不然为什么这么多研究生跳楼呢。其原因固有中国科研环境不纯粹 导师制度的不合理 唯论文论的影响。也有一部分原因是因为大部分研究生本来就没有对科研抱有很大的兴趣。而做科研大家都知道要有乐观的心态和坚持的韧性。就拿当年孟德尔做豌豆实验举例，就连材料豌豆都种了八年。现在一个研究生三年做成结果，博士五年做出结果。大部分可能如施一公所说 水个垃圾文章就毕业了。我想多数人读大学读研的目的不都是为了赚钱吗？既然为了赚钱，分析一下你们专业的平均工资。询问一下你们上届的学长学姐都去哪了？待遇情况怎么样啊？你觉得情况不好就可以考虑提早转行，不要再等到研究生毕业后才后悔没有早早转行。大学是多赛道生活 做适合自己的选择大学不只有读研这一条路，考研 保研 创业 考公 就业 都是很好的道路。没有谁优谁劣，只有适不适合你自己。马云如果选考公，那也就肯定没有现在的阿里巴巴了。 要记得 选择永远大于努力。结语我写这么多，只是为了劝告大家不要去盲目读研。最近几十年，中国的发展非常的快，科技的推动在其中起了非常重要的作用。但是不是每一个人都适合科研，望我们都能认真考虑。最后我用《上海交通大学生存手册》上的一句话来结尾“平庸的生活方式是麻醉药，他只会束缚你，让你没有作为，甚至没有出息地度过大学四年”。希望我们都能把握好当下，做一些真正有意义的事，而不仅仅拘泥于课堂或所谓的绩点，希望最终我们都能成为我们想要成为的人！公众号后台回复指南 即可获得电子版的《SEU东南大学生存指南》和《上海交通大学生存手册》如果我的文字对你来说有一点价值，那么请你点个赞告诉我一声我会感到非常开心和荣幸。我是十九一个想要看清世界真相的大学生杀不死的只会让我更强大欢迎大家点赞关注哦 
考研学长拖鞋哥,我算是考生心中最不可爱的人——考研机构负责人 的代表，但是，也因为这个，每年接触的考研学生，有深聊的近千，只是听听大家吐槽的，数不过来了，于是觉得，对这个话题，我是有发言权的！为什么考研？说得好像不考研所有人都能找到好工作一样？我接触的考研学生，大体上分几种——1.目标极度明确的，这部分人，往往大三就开始收集信息，寒假的时候就开始备考。其中，有一些是真有学术理想的，更大一部分，是本科学历不好、希望通过考研找一个更好的跳板的。都在说阶级固化，但是，哪怕机会不平等，连别人想追求进步的努力都否定掉，我们这个社会还能有什么活力？2.不知做什么于是考个研的，这种人是主流，但是，并不可耻。第一份工作，不能说能决定人生，但是，毕业前3年的表现，对一个人未来能取得的成就，确实是很重要的。现代人普遍晚熟，让自己准备充分一点再上战场，在一个人还没有办法充分对自己负责的时候，让他们上场面对社会的搏杀，其实真的很残忍。至于考研错过在工作中进步的机会成本，说实话，工作本来就不是让你学东西的，能让你“学到东西”的工作岗位，真的最多只有30%，而，如果你不是应届毕业生中的前30%怎么办。3.爸妈逼的，当然，我说的不纯粹是那种孩子不想考父母非逼着考的那种。现在考研的这批人，以95年前后为主，他们的父母，遇到了中国经济真正的黄金一代（92年南海画圈是中国经济起飞的标志这点大家没有争议吧），其中很多人的资本积累和财富积累、以及现在能吓死人的房价，都到了这代人以想象力可及的范围内可望不可及的份上。在这个时候，是早早出社会拿3-5K的工资（刚毕业想拿到10K以上，那起码要到知乎ers的普遍标准，985+一线城市吧），还是去继续深造，寻找可能的提升自己的潜力，这个，如果是我，会选第二种。讲真，这代人，太难！70后有中国经济腾飞，城市人口的起码20%的人能完成财富积累（我的定义，2套房+30万存款）；80后有互联网+房价红利，最起码，还算有那么点机会；90后这代人，毕业三年工资能否赶上父母（或者别人家的父母）的银行利息，这个，除了最优秀那批，是存疑的。PS：所有数据为约数；对他们宽容点吧，还想他们怎么样？BAT、上市公司校招的名额是有限的，最多只能覆盖3%的毕业生。有潜力的小公司，努努力，发挥下小微企业的就业容纳池作用，15%，够多了！剩下的呢。创业？1%的人已经都太多了，我个人觉得忽悠大学生去创业，这简直是犯罪。剩下的，如果只是想去那些永远缺人的销售、mini公司行政岗……是的，别怕错过机会，这些“机会”永远会欢迎你，嗯，也欢迎基本所有人。考研，跟风的有，但是，对大数据、对报名总人数来说，影响不大。影响大的是什么，是大体的经济形势和就业情况。08年次贷危机，09年考研国家直接增加了8.5万的研究生录取名额，环比上年多了21.8%（之前最大的调整幅度不过是8%），如果国家没有缓冲就业压力的想法，我是不信的。14-15，社会经济、特别是实体经济总体向好，于是，考研报名总人数，连续下降下降了5%左右。之后呢，就进入了地产暴涨、其他行业萧条的这两年，于是，结果呢？17年考研报名人数上涨了9%左右，直接突破了200万，18年考研报名人数呢，就目前的公开数据，预计还要往上增加10%。顺便，分析一下答主的心态——“本人是大三学生，两年里没有人考研，现在有三个人在考研，有一个是真心考的，其他两个都是跟风似的 考研，真的考研就有那么大的吸引力？”总有些同学，特别喜欢嘲讽自己身边考研的同学。说白了，就像部分考研的同学看不上身边打游戏、找工作的同学。其实，都不容易，大三阶段，我懂大家的焦虑。身边同学的行为，在做什么，其实某种程度上是我们去思考“我应该去做什么”的重要凭据，而，我们总是需要去为自己的选择辩护的，也总是需要努力说服自己，我没有选择这条路，是因为这条路不好。然而，未来，哪有什么最正确的路，所有人的选择，都是不确定的。保持宽容吧，如果身边所有人都走一样的录，那不是很无趣吗？码字不易，如果文章对你有启发，记得点个赞~
蒲公英新传考研,不像大多数考研人，我一开始并没有想考研，直到去年5月和两年不见的高中闺蜜聊天时，她本科期间的努力和保研经历彻底点醒了我，我想：我也该逼自己一把，不要再浑浑噩噩了。我考的是新传，以下是我的考研基本情况，包括准备阶段和最终结果，希望能帮到你们～复习资料准备政治：参考书目：肖秀荣《精讲精练》、《1000题》、腿姐《技巧班讲义》、徐涛《背诵笔记》、《肖四肖八》、《腿姐冲刺四套卷》。观看视频：徐涛强化班、腿姐技巧班英语二参考书目：朱伟《5500》单词书、《红宝书》、田静《句句真研》、张剑《黄皮书》、唐静《考研英语拆分与组合翻译法》、王涛《考研英语高分作文》。观看视频：唐迟阅读、田静长难句配套视频。新闻与传播专业基础知识（334）参考书目：以院校的考试大纲给的参考书目为准。新闻与传播专业能力（440）参考书目：以院校的考试大纲给的参考书目为准。前期复习（1月-3月）政治正式开始复习是8月底（时间真的很赶，也很慌，建议学弟学妹们尽量早点开始准备，不要学我拖延呜呜呜），建议看政治的时候将肖秀荣的《精讲精练》和徐涛的强化班视频配套来看。此外，学完一章内容一定要刷《1000题》巩固知识，不然文字类的东西会忘的很快，如果1000题不够做，手机刷题很好的一点是可以充分利用碎片时间，比如在图书馆门口排队等开门的时候，中午在食堂排队的时候等等，都是很好的学习时间。（就是要悄悄努力，然后惊艳所有人哈哈）。英语复习前期最重要的是打好基础，一定要坚持背单词。最好是手机软件“墨墨背单词”和朱伟的单词书《5500》两手抓。手机背单词便于更好地利用我们的碎片时间，单词书的派生词、真题例句分析等等都比背单词软件要全面一些。背单词其实真的是一个枯燥又漫长的过程，但是也是一个必须经历的过程，不能一股脑地做题，单词真的很重要，就像一栋建筑物的地基，没有它一切都是空谈。专业课复习前期先把书目完整的过一遍，理解性阅读，并且学会自己画大纲、标重点。然后再根据你画的大纲联想出有关的内容，看书是一个把书从厚读薄，再从薄到厚的一个过程。新传理论是出了名的多，因此在复习前期，每个理论都要理解性记忆，切忌囫囵吞枣，张冠李戴！我复习专业课的时候是先看理论，再找相关案例理解，最后关上书用自己的话去阐述一遍，尽量再找一个例子可以佐证它。比如蒂奇纳等人提出来的知识沟理论，联系到当下火热的“双减政策”，可以谈谈在“双减政策”的实施下，中小学生之间的知识沟是缩小还是扩大？这样的联想式理解非常有助于理论的消化，第一遍复习消化好，后续的学习以及主观题的作答就容易上手的多了。中期复习（3月-9月）政治中期重视选择题。政治的选择题有50分，2分一个题，其重要程度不言而喻。腿姐技巧班中，会讲到关于做政治选择题的技巧和方法，并不只是死记硬背，看完视频之后再将方法用到下一次做题上，巩固知识。政治中后期：背诵小册子、有时间练练政治大题。徐涛老师的背诵笔记小册子字体很可爱，很清晰，重点也很明确，适合做选择题。英语中期单词、长难句、阅读理解都要练起来。这个时候单词应该过完一轮开始第二轮了，第二轮我又新入手了《红宝书》，《红宝书》里面有一个夹页是根据艾宾浩斯曲线设定的打卡页面，按照那个页面规定完成每日任务。英语阅读一定要引起重视，我选择跟唐迟老师，一开始我会提前把唐迟老师要讲的内容先做一遍，老师讲的时候再分析自己做错的原因，后来我渐渐学会老师讲的方法，我自己做题的时候就会自觉把方法代入进去，多做多练，真的进步会特别大。英语着手练习完型选择、翻译和补充题型，给自己定时两小时做真题（不包括大小作文）。翻译练习我当时买的是唐静老师的《考研英语拆分与组合翻译法》，每天按自己的节奏跟着做就行，不用看视频。专业课中期背书，阅读相关公众号推送的各大院校的真题以及公众号给出的答题思路，逐步了解真题的答题技巧和方法。440可以开始新闻实务的练习了！新闻实务中最难的是评论的写作，也是我花费精力最多的！一开始，每次我写完一篇评论都觉得自己简直是当代文豪，但每次学姐一批下来，发现自己问题很多，比如标题不吸引人，论点不突出，论据不充分，逻辑混乱！后来在学姐的指导和批注之下，渐渐找到了评论的一些小技巧，分数和写作速度也慢慢地提高了。此外，新闻敏感是作为一个新闻人不可缺少的素养，我们需要时刻关注社会时事、民生大事、政治生态……并且从这些大大小小的事情中挑出具备新闻价值或者潜在价值的事情，发表自己理性的见解！后期（10月-12月）政治后期冲刺阶段背大题。这个时候基本上就是12月10号左右了，争取最后两周把《肖四肖八》的大题都背下来，《肖四》尤为重要！英语练习大小作文，每种类型的范文至少背诵一篇。这个时候应该是十二月初了，考研英语作文不要直接上手写。我买的是王江涛的《考研英语高分写作》，先看历年的范文，看要求，看格式，因为小作文会考察不同类型的，比如写信、写邮件、写公告等等，每一种都要看，并且每种类型尽量背诵至少一篇，以防在考场时间紧头脑一片空白，什么也写不出的情况发生。大作文就要背一些常用的句子，用于开头、结尾以及承上启下。专业课后期开始上手练习真题，以及阅读目标院校导师、学姐权威导师的论文。专业课考试有三个小时，但基本上有12页左右的稿纸，因此要在三个小时把卷子写满是有一定难度的，但是有些人就是可以做到，平时的练习一定不能少。设定三个小时，准备好足够多的稿纸练习，让自己紧张起来！注意，我知道背书很枯燥乏味，可能背了又忘，但是文科就是这样，并不是说你要把背的内容在考场上全部写出来，而是你在考场作答的时候，不会出现脑子空空没有东西的情况，只有当脑子里有东西了，你在回答主观题的时候才知道怎么运用自己的知识！经验分享①政治：晚上复习政治。因为白天复习专业课和英语已经很累了，晚上的大脑是比较疲惫的，看看政治放松一下。②英语：前期开始，就可以自己准备一个单词本，遇到生词就可以记录下来，尽量是便于携带的，这是一个很好的积累单词的习惯。根据考研时间，尽量在下午学习英语。③专业课背书：专业课书的内容至少背三遍，可能需要背诵的内容很多，但是不能轻易放弃！每天晚上闭上眼睛睡觉的时候想想自己今天背诵了什么内容，加深记忆！④专业课实务练习：不管你用什么方法，新闻实务的练习一定要找到可靠的学长学姐帮忙批改！⑤专业课碎片时间利用：关注几个新传考研公众号！这些公众号会发一些干货，记得查收！作者： @蒲公英新传考研 学姐，如果对你有帮助，双击屏幕表示鼓励啦！
哎哟carly,你不也是跟风高考啦么
嘉慧Lincoln,虽然学历贬值厉害，但是学位仍然值钱。如果家里不太支持，建议早毕业早挣钱；如果家里有些条件，建议一直读到博士；如果家里非常有钱，读不读真的无所谓。
舸扬,我就歪个楼。我认为，别人是跟风，还是真正自己内心有个强烈的召唤，其实你可能永远不知道。我是工作了三年多才考的研，一个普通的985。别人问我，我都说我就随便试试，其实我内心是一直有个读研的梦想。所以我当时考研时候，还是褪了一层皮的。每天的辛苦都已经到麻木了，每天6点到12点的高强度脑力活动。我记得那个时候特别容易饿，桌边常备着巧克力，考完就没这种感觉了。最关键的是心理压力很大，因为就只有一次机会，也从来不相信调剂。而且，很多人不理解，辞职考研要多大的勇气。记得离考前一个月的时候，有一套数学真题做得很不好。当时就想如果这就是考试，我就完了，于是就哭了。（我是男的）哭了十分钟，拿起卷子对答案。现在想想，突然很感慨，当年还这样拼过。进了学校以后，发现有一半都是保送进来的，根本不需要考。我们在书堆的炼狱里挣扎的时候，这些保研的去了各种地方旅游。很多人连高数最基本的一些东西都忘记了，但和我们一样上课，一样考试，最后拿一样的学历。进了学校以后，发现还有在职研究生。他们可以继续上班，只是多交了很多学费。从2016年起，在职研究生拿的竟然也是和我们一模一样的学历。你说心里会有不平衡么？每个人读研的目的是不一样的，只想简单拿到这个文凭的人很多，挣扎着拼尽全力想要取得这个文凭该有的成绩的人也不少。所有的问题，其实都会回到你的内心。你想要什么样的生活，你有没有遵从你自己的内心。你的决定若不是出自自己，总看着窗外的人，那你心中的天平一定会摇摆，得不到答案。其他人心中什么样的种子，最终长出什么样的花，真的要很多很多年才能知道。================分隔啦=========对于评论中的一些问题，我想说明一下。我真的不是对保送的学生有什么偏见，但我必须强调，保研和考研的难度真的不是一个量级的，我有资格说这个话，因为我曾经也是保送生，但我放弃了。当然，这句话不适用于中国那几个顶尖的学校，因为我不了解。
鬼道wk,好现象，高考药丸，考研药丸。你乎仰仗的学历这张废纸的作用越来越可笑了。人民娱乐至死化倾向进一步加重。大学成为新一轮应试教育坑害的集中地。各种我没办法的言论又开始冒出来了。本来应该培养人才的地方最终沦为新一轮考试基地。开辅导班的，教育私有化可以名正言顺的更进一步了。
大牙师兄,简单说，是高校扩招后，学历贬值的后果。二十年前，大学生值不值钱？当然值钱，不说什么本科，就一个大专都是香饽饽。为什么这么值钱，因为大学生少啊，物以稀为贵。现在呢，走大街上随手那么抓，就是一个大学生。人忒多，远超过了市场对他的需求，于是就开始学历贬值。学历贬值了那还怎么完成“鲤鱼跳农门”、“一人得道鸡犬升天”的家族使命？继续读呗。
CoolKing,我好好工作你又说我没点想法我去考研你又说我跟风考研我去创业你又反对我创业我们大学生总得干点事吧？不然你养我呀？然后底下一帮人又回复：那你还是去考研/创业吧！所以呀不要管别人怎么说如果一件事你认为值得你去做那就去做吧.
