danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity
0.36,0.9325,0.421,130.536,-2.9865,0.5,7,0.002495,0,0.138,0.16375,0,251320,47.5
0.672,0.783777778,0.52,126.5177778,-4.092333333,0.444444444,4.555555556,0.013490556,2.19E-06,0.298111111,0.1845,0.666666667,196563.2222,52.77777778
0.682,0.889,0.827,138.021,-4.166,1,0,0.00564,0,0.36,0.0804,0,192440,63
0.478,0.927,0.775,125.346,-4.266,1,0,0.000343,0,0.359,0.047,0,217707,45
0.5812,0.685,0.5582,89.4386,-5.0554,0.6,5.4,0.124216,0,0.22096,0.11794,0,246570.8,46.2
0.934,0.706,0.614,112.962,-5.317,1,7,0.0305,0.000121,0.136,0.178,1,236480,48
0.233,0.705,0.352,74.102,-6.928,1,5,0.0319,6.52E-05,0.185,0.0928,1,401573,67
0.546,0.78,0.692,170.129,-3.684,1,1,0.0363,0,0.195,0.0564,0,237200,42
0.547176471,0.707960181,0.675529864,122.030543,-8.109782805,0.814479638,4.728506787,0.296287014,0.022411033,0.183461538,0.055244344,0,186075.7285,29.97737557
0.528333333,0.537666667,0.508,127.2976667,-12.16133333,0.666666667,7,0.47,4.13E-06,0.281,0.124866667,0,277075.6667,35.33333333
0.495,0.878,0.689,121.9755,-6.5245,1,11,0.1815,0.22665,0.2335,0.04445,0,217966.5,43
0.6465,0.687,0.294,133.9695,-6.2855,0.5,7,0.02035,0.384,0.1745,0.06315,0,211767.5,55.5
0.391,0.408,0.273,69.399,-7,1,7,0.594,0,0.309,0.0317,0,214080,45
0.64425,0.647,0.58875,109.25525,-7.67775,1,2,0.323,0.022355825,0.204075,0.059275,0,203820,50.25
0.454,0.832,0.228,135.087,-5.649,1,7,0.000451,0.0188,0.076,0.0343,0,301213,53
0.257,0.01305,0.0373,89.314,-32.347,0.5,3,0.991,0.792,0.11195,0.04715,0,271980,32
0.4116,0.8442,0.5996,137.247,-9.4434,0.8,4.2,0.011643222,0.45820596,0.08996,0.0505,0,184551.8,43.8
0.6545,0.735,0.611333333,130.6108333,-7.576833333,1,3.5,0.02538435,0.475,0.111,0.03665,0,232493.3333,32.16666667
0.4223,0.6099,0.285125,124.08375,-5.3955,1,7.6,0.1603206,3.62E-06,0.137755,0.029515,0,273445.3,51.2
0.3645,0.314,0.3955,98.2735,-11.243,0.5,5.5,0.7225,0.000212205,0.328,0.03175,0,141213.5,24
0.703,0.719,0.462,112.009,-6.625,0,1,0.00889,0.0962,0.0695,0.0461,0,465333,52
0.249,0.0524,0.038,128.119,-23.226,1,2,0.919,0.936,0.119,0.0373,0,557173,36
0.514045455,0.642772727,0.550272727,116.9493636,-6.007090909,0.818181818,4.272727273,0.397314091,0.001571454,0.14765,0.069704545,0,198911.4545,46.45454545
0.585731183,0.172082796,0.721032258,103.8713548,-16.89024731,0.88172043,4.731182796,0.969526882,0.022521203,0.177643011,0.111977419,0,180223.2581,2.150537634
0.409,0.902,0.728,135.797,-5.714,1,5,0.487,0.00358,0.035,0.1,0,179147,26
0.6895,0.26,0.319,92.5325,-9.5775,0.5,9.5,0.85,4.80E-05,0.179,0.0493,0,163847,17.5
0.56073913,0.786782609,0.561608696,124.9007826,-4.592869565,0.913043478,5.304347826,0.211463478,0.000265437,0.172495652,0.042430435,0.043478261,196311.3478,55.34782609
0.5095,0.9615,0.927,119.992,-4.408,1,3,0.0258,0,0.1295,0.04155,0,220093.5,49
0.732384615,0.742307692,0.580538462,130.2606154,-4.859230769,0.461538462,6.307692308,0.117818462,4.96E-06,0.215030769,0.092130769,0,227794,56.23076923
0.583166667,0.79325,0.540666667,103.5985833,-5.032166667,0.916666667,6,0.074542167,0.048132574,0.225916667,0.051141667,0,239114.3333,53.41666667
0.65,0.7185,0.49,124.9665,-5.947,1,11,0.07105,0.009074,0.1124,0.04115,0,231420,60.5
0.664888889,0.695333333,0.539222222,105.0402222,-7.046111111,0.555555556,6.444444444,0.141446667,0.547808889,0.223888889,0.0324,0,229258.1111,51.22222222
0.393,0.9615,0.3465,142.4965,-2.09,1,3.5,0.00939,0,0.2995,0.08025,0,218246.5,48.5
0.4832,0.6892,0.417986667,124.9793333,-5.537533333,0.933333333,6.066666667,0.208551333,8.53E-08,0.15808,0.036913333,0.2,242690.7333,61.4
0.614,0.656,0.697,95.531,-7.559,1,1,0.367,0.15,0.113,0.0245,0,265627,42
0.82675,0.804875,0.912,111.629875,-6.687375,1,6.875,0.2075,0.094412726,0.1203375,0.042875,0,194040.25,49.75
0.675333333,0.593666667,0.910333333,120.234,-7.901666667,0.666666667,6.666666667,0.711666667,0.003883233,0.0661,0.047166667,0,301786.6667,32.66666667
0.634,0.738,0.908,92.525,-2.739,1,8,0.778,0.0131,0.0562,0.0504,0,478173,25
0.5705,0.443,0.7805,131.916,-6.6745,0.5,9.5,0.971,0.9025,0.1825,0.04785,0,182871,0
0.3242,0.9684,0.13442,142.2848,-6.2446,0.6,3.8,0.075564,0.28248736,0.3442,0.20928,1,140696.2,27.2
0.243,0.501333333,0.319666667,109.0996667,-9.332666667,1,3.333333333,0.212333333,0.776333333,0.125633333,0.034566667,0,167066.6667,24.33333333
0.5925,0.608,0.5295,110.28025,-8.67025,0.75,4.75,0.287525,0.21586526,0.32115,0.03855,0,319200,42.25
0.767,0.693,0.626,110.419,-7.533,0,7,0.0711,0,0.107,0.0262,0,244693,34
0.698708333,0.570875,0.590916667,106.67725,-6.628708333,0.291666667,5.166666667,0.196408333,0.000377596,0.159754167,0.097458333,0.041666667,266666.6667,50
0.484,0.525,0.216,59.957,-5.99,1,6,0.176,0,0.36,0.0415,0,297000,49
0.511222222,0.420861111,0.573772222,116.278,-14.82738889,0.333333333,5.5,0.187538633,0.153263742,0.129966667,0.042566667,0,373931.3333,32.05555556
0.739875,0.49475,0.559625,108.452875,-7.376375,0.875,4,0.563525,4.51E-07,0.234625,0.1273625,0.125,163680.875,49.625
0.67675,0.51625,0.62975,135.96825,-14.95175,0.75,8,0.22315,0.25125,0.11275,0.043575,0,341636.5,42
