-ATM-,7452295296,4,6,3,省/直辖市,城市/地区,0
反弹了噢,5815405793,5,0,0,,,0
小小鸟飞不高,6892779835,4,0,0,,,0
稳增长abcD,4696392317,1692,20,164,其他,不限,1
天马行空A,8820610553,468,2,3,,,0
秋意smk,6446443953,8,0,0,,,0
殊途同归th,4626918249,1062,17166,219,江苏,不限,0
追逐牛V,5023031065,160,19,55,,,0
小地瓜爱萌二,9221659960,89,4,49,,,0
bb7k7k,7386175220,97,3,0,不限,未知,0
KeepJeep,1405755433,62,1,8,,,0
漫漫回家路,4158360509,15,3,3,,,1
Seikimatsu,5966235732,55,65,125,其他,不限,0
火火1314,9029847562,27,4,18,,,0
StellaLau,7540596586,44,1,1,,,0
Cokecity,5619890905,486,4,0,,,0
牛qt8,9220361060,487,266,798,广东,广州,1
剑寒,2473334549,15,0,3,,,0
心在边缘,9608811235,112,9,9,不限,,0
shenzhenmen2,7388098944,39,0,0,,,0
倚杖听江,1539738713,243,0,353,四川,不限,0
五道口小可爱,2408220818,110,28,0,,,0
大风吹兮,1289746942,232,8,55,不限,未知,0
单打囧囧森,4748920861,411,12,21,不限,未知,0
没有通知,6782829048,31,2,0,,,0
maha-马鹿野狼,8370557216,85,823,101,北京,不限,1
五路神,4525084363,403,198,199,河北,城市/地区,0
你猜我猜不猜gl3,2444578289,119,1,4,,,0
行走的F10,7598349864,2,0,0,,,0
租房的刚需,4960011867,239,17,102,不限,未知,0
发财笔记,8301582424,131,2,2,山东,青岛,0
知行合一ing,9070046613,273,771,494,其他,,1
wingsofree,5741329466,179,9,35,,,0
0零0零,1191770284,424,2,1,,,0
多則惑,5157245379,59,58,2,河南,平顶山,0
123misaka,9648314206,30,2,4,,,0
漩涡fq8,6792035093,11,1,0,,,0
徐夕嘉兴,2820155530,210,43,190,浙江,,0
大白橙,2515594597,128,4,13,,,0
xueqiu768,2890623786,208,9,0,,,0
佛系头资,4349404680,32,1,0,不限,未知,0
蜗牛_v,1058802436,74,7,50,,,0
Jack---chen,1956750932,155,32,213,省/直辖市,城市/地区,0
目标1000000,4263509061,2,0,0,,,0
奮鬥的Wendy,9242515720,61,1,0,,,0
长久价值,7063611579,1509,784,231,山东,临沂,0
幸运女神青睐我,3018207956,901,3845,4273,广东,不限,0
橙红岁月,3434838024,165,2,21,山东,德州,0
唯有爆富解忧,4132495870,24,1,7,不限,未知,0
路客117,6401260715,927,34,198,省/直辖市,城市/地区,0
一点都不假正经,3172278750,45,2,1,不限,未知,0
不懂不买-HS,8414339437,642,109,13,广东,深圳,0
偉鎭,3844678378,2865,52,132,广东,中山,1
雪花飘阿,9443634652,125,4,0,,,0
疯狂的查尔斯道,7913641936,417,410,120,不限,未知,0
gyeye,7351681744,286,103,12,湖北,武汉,1
保险经济1988,4732519164,24,41,59,江苏,南京,0
跟随趋势ing,1082405381,254,58,937,河北,唐山,0
Kldcz,3895304711,126,6,1,,,0
阳光_向上,3455092938,592,3,28,不限,未知,0
不做韭菜的小散,4344508110,240,38,220,陕西,西安,2
神瑛侍者来炒股,9500607137,23,24,74,,,0
怎么办,1460593009,2031,631,864,浙江,杭州,0
狂吃肉包,8322359883,294,4,6,,,0
develo,2700391976,30,0,0,,,0
孤独的潜伏者,1382798094,79,128,168,云南,不限,0
普通嫩韭菜,8690879952,83,2,10,,,0
willas1688,3023152086,646,127,588,北京,不限,0
陆远远远,9809475017,47,1,0,不限,未知,0
猎者等待,5990064889,43,99,162,山西,忻州,1
小青龙壮壮,6366181273,11,1,36,,,0
evan327,8429101222,51,11,108,,,0
weiweifund,9009826206,215,5,15,北京,丰台区,0
Minkow,1153513233,56,1,8,,,0
帝都威哥,4107951261,93,39,285,北京,西城区,0
一只蜗牛的进阶,7366888866,108,5159,24,,,1
不想搬砖的投资者,7607135553,2140,107,2059,不限,未知,0
Ming-Vivi,7542667198,36,1,1,省/直辖市,城市/地区,0
芳子wsf,5493605535,1024,16,1,不限,未知,0
毣vv7,4159803975,28,0,0,,,0
黄老陈,7784096979,124,1,4,,,0
M-Reus,5364129150,30,1,0,,,0
小小的太阳yev,5772428166,49,1,0,,,0
奔跑的蜗牛951,5496225886,58,0,1,,,0
天马行空g28,9363272647,3,0,0,,,0
知行合一xw,6049601060,13,3,0,不限,未知,0
薛eau,5073604843,51,4,7,,,0
新入行的老股民,3054674750,269,61,1374,浙江,杭州,0
雄关道漫,6616781616,86,34,84,其他,其他,0
pcn55,2382073786,5,0,0,,,0
FelixW_粟,6667285555,4121,280,426,香港,香港,2
集中与分散,2339472482,246,27,1157,广东,东莞,0
zjkent龙行天下,1384470024,130,1,56,广东,湛江,0
佛心无股,8065310012,239,87,162,云南,昆明,0
嗖嗖与嗖嗖,4163354726,126,1,2,黑龙江,哈尔滨,0
盼盼的我,3861839035,790,7,104,不限,未知,0
聂lulu,9108219155,292,3,0,,,0
sweetday123,8218293114,749,21,11,,,0
迟来,5395314564,112,4,8,浙江,宁波,0
清香白莲一页书,9577106912,12,1,52,四川,成都,0
,1931724291,15,0,0,,,0
,3520485863,19,0,0,,,0
littcricket,1539359626,341,6,11,,,0
慢财有道,8273983442,207,42,183,省/直辖市,城市/地区,0
星辰大海yanzi,6725836908,153,198,172,辽宁,不限,0
丨稻香,2773536979,19,5,33,,,0
helloyh2008,5358289868,1222,72,1256,安徽,城市/地区,0
浙江基石投资,1180797869,138,104,34,浙江,金华,0
张小鸭,9451134891,101,12,4,,,0
特立独行的猪阿,4523535084,116,1,4,,,0
LEVELEEE,1829833644,181,10,27,上海,浦东新区,0
寻风人0001,8729716565,35,611,74,广东,深圳,0
庄晋彬,4773313088,11,1,1,,,0
东方王丽,4404748389,733,276,728,不限,未知,1
梁沱小兵,2535661681,89,0,0,不限,未知,0
Leonardoh3n,6525731640,121,4,2,,,0
折子戏里忆平生,2530880340,243,4,337,四川,成都,1
南柯张太守,1626236788,567,62,218,广东,广州,1
深圳股侠,6811346568,324,17532,1210,广东,深圳,1
相对不亏损,3811375232,238,567,154,山东,不限,0
门捷列夫学徒,2874741935,156,2168,205,,,2
接盘侠-荒马,8098666345,87,6,65,省/直辖市,城市/地区,0
自由投资人supersu,3386934197,337,342,169,四川,不限,0
赵书,1100858171,229,15,42,省/直辖市,城市/地区,0
咆哮的窄桥,1251184745,19,5,21,北京,不限,0
