序号,招聘主题,发布日期,浏览次数,招聘数量
1,四川轻化工大学2022年人才引进政策,2022/1/4,907,180
2,重磅来袭，百万揽才｜巢湖学院2021-2022年人才引进公告,2022/1/4,484,60
3,国家国防科技工业局军工项目审核中心公开招聘,2022/1/4,469,3
4,航天三院三〇四所2022年校园招聘,2022/1/2,2066,20
5,深圳前海麦格美科技有限公司2022管培生招聘,2022/1/2,1462,20
6,2022极米科技春季招聘提前批-招聘简章及岗位详情,2022/1/2,1338,3
7,常州工学院2021-2022年人才招聘启事,2022/1/2,1252,100
8,浙江大学杭州国际科创中心先进储能技术课题组2022年博士后招聘公告,2021/12/31,1856,3
9,武汉东湖学院马克思主义学院教师招聘,2021/12/31,1479,12
10,2021-2022零点有数校园招聘火热开启,2021/12/31,1422,10
11,广西师范大学2021年高层次人才招聘公告,2021/12/31,1400,90
12,青岛鼎信通讯 2022 届秋季校园招聘,2021/12/31,1376,60
13,“安装星 星未来” 中建三局安装工程有限公司（中建三局智慧事业部）2022校园招聘,2021/12/31,1393,100
14,极米2022届春季校园招聘,2021/12/31,1359,100
15,电学专利代理人,2021/12/31,1347,5
16,诚壹资本招聘投资助理,2021/12/31,1420,1
17,深部岩土力学与地下工程国家重点实验室面向海内外诚聘博士后研究人员,2021/12/31,1125,50
18,长城软件2022校园招聘,2021/12/31,1110,129
19,中信证券北京分公司2022年校园招聘火热进行中,2021/12/31,975,20
20,青春韶华 腾飞起航 | 中国华腾2022年度招聘正式启动,2021/12/30,1543,30
21,推想-与AI同行 推想未来,2021/12/30,1219,49
22,西南医科大学2022年诚聘海内外英才,2021/12/30,1159,36
23,浙江新安化工集团股份有限公司2022届校园招聘,2021/12/30,1078,30
24,中国天辰工程有限公司2022年校园招聘,2021/12/30,1090,20
25,亚信科技招聘简章,2021/12/30,1077,100
26,招商证券股份有限公司北京朝阳公园路证券营业部【招聘】,2021/12/30,1063,5
27,揽英才 金陵科技学院招才引智，诚邀您的加盟,2021/12/30,1183,50
28,麦捷科技2022年校园招聘简章,2021/12/30,1152,20
29,启明信息技术股份有限公司2022年校园招聘简章,2021/12/29,2129,50
30,清华大学天津高端装备研究院人才引进,2021/12/29,1781,2
31,你和我的距离只有一封简历的厚度,2021/12/29,1806,12
32,中证信息技术服务有限责任公司 2021年度招聘公告,2021/12/29,1738,12
33,中国科学技术大学先进技术研究院2021-2022年度招聘简章,2021/12/29,1779,110
34,阳光电源2022届全球校园招聘秋招补录,2021/12/29,1634,40
35,中国卫通集团股份有限公司招聘,2021/12/29,1408,3
36,西安电子科技大学空间科学与技术学院2021年教师岗位招聘启事,2021/12/29,1371,40
37,中国热带农业科学院热带作物品种资源研究所2022年高层次及博士人才公开招聘公告,2021/12/29,1324,26
38,中国供销集团2022年度应届高校毕业生招聘公告,2021/12/29,1349,40
39,华夏久盈资产管理有限责任公司2022校园招聘,2021/12/29,1306,10
40,中国搜索2022年校园招聘简章,2021/12/29,1306,29
41,深圳市大数据研究院科研人员招聘简章,2021/12/29,1461,20
42,九江学院2022年人才招聘公告,2021/12/29,1376,150
43,恒上咨询代宽带资本旗下云天使基金投资经理,2021/12/28,1595,2
44,宁波工程学院2021年高层次人才（教师）招聘公告,2021/12/28,1202,2
45,长三角腹地-常州工学院2021年人才招聘启事,2021/12/28,1059,30
46,校园招聘,2021/12/28,1010,2
