序号,招聘主题,发布日期,浏览次数
1,招聘博士/副研究员年薪45万+，博士后30万+/深圳职业技术学院,2022/1/4,136
2,西南医科大学2022年诚聘海内外英才,2022/1/4,89
3,台州学院高等研究院大数据智能医疗研究所招聘启事,2022/1/4,76
4,深圳大学食品科学与加工研究中心吴奇院士团队招聘博士后公告,2022/1/4,71
5,2022年南通市通州区公开选调优秀青年人才简章,2022/1/4,206
6,重磅来袭，百万揽才｜巢湖学院2021-2022年人才引进公告,2022/1/4,138
7,南方科技大学电子系Aung Ko Ko Kyaw课题组招收材料研发实习生启事,2022/1/4,115
8,烟台先进材料与绿色制造山东省实验室2021年公开招聘工作人员简章,2022/1/4,106
9,湘潭大学2021年诚聘海内外人才,2022/1/4,104
10,烟台东方威思顿电气有限公司2022届校园招聘简章,2022/1/4,94
11,四川轻化工大学2022年人才引进政策,2022/1/3,183
12,2022年潍坊市“才聚鸢都·博士潍坊行”暨潍坊学院第五届博士“鸢都行”活动的通知,2022/1/2,385
13,常州工学院2021-2022年人才招聘,2022/1/2,349
14,成都航空职业技术学院2022年人才（硕士、博士）招聘公告,2021/12/31,585
15,渤海大学长年诚聘博士及在读博士,2021/12/31,397
16,招聘博士/副研究员年薪45万+，博士后30万+/深圳职业技术学院,2022/1/4,136
17,西南医科大学2022年诚聘海内外英才,2022/1/4,90
18,台州学院高等研究院大数据智能医疗研究所招聘启事,2022/1/4,76
19,深圳大学食品科学与加工研究中心吴奇院士团队招聘博士后公告,2022/1/4,71
20,2022年南通市通州区公开选调优秀青年人才简章,2022/1/4,206
21,重磅来袭，百万揽才｜巢湖学院2021-2022年人才引进公告,2022/1/4,138
22,南方科技大学电子系Aung Ko Ko Kyaw课题组招收材料研发实习生启事,2022/1/4,115
23,烟台先进材料与绿色制造山东省实验室2021年公开招聘工作人员简章,2022/1/4,106
24,湘潭大学2021年诚聘海内外人才,2022/1/4,104
25,烟台东方威思顿电气有限公司2022届校园招聘简章,2022/1/4,94
26,四川轻化工大学2022年人才引进政策,2022/1/3,183
27,2022年潍坊市“才聚鸢都·博士潍坊行”暨潍坊学院第五届博士“鸢都行”活动的通知,2022/1/2,385
28,常州工学院2021-2022年人才招聘,2022/1/2,349
29,成都航空职业技术学院2022年人才（硕士、博士）招聘公告,2021/12/31,585
30,渤海大学长年诚聘博士及在读博士,2021/12/31,397
31,中共河北省委党校（河北行政学院）2021年诚聘英才,2021/12/31,322
32,中国地震局地球物理研究所高层次人才引进公告,2021/12/31,340
33,深部岩土力学国家重点实验室诚聘博士,2021/12/30,383
34,浪潮集团2022届校园招聘秋招补招,2021/12/30,416
35,广东机电职业技术学院、广东省博士工作站2022年博士研究生招聘公告,2021/12/30,309
36,南通大学电气工程学院诚聘海内外英才,2021/12/30,315
37,中国科学院长春应用化学研究所2022年度招聘启事,2021/12/30,288
38,河北农业大学2022年选聘博士公告,2021/12/30,273
39,中国科学院微生物所病毒感染与免疫相关博士后岗招聘,2021/12/30,270
40,中国水产科学研究院黄海水产研究所2022年公开招聘工作人员公告,2021/12/30,261
41,浙江大学机械设计研究所2021年招聘副研究员、博士后,2021/12/30,265
42,2022年春季全国研究生专场巡回招聘会暨国防军工类 专场招聘会——电子科技大学站,2021/12/30,168
43,2021年吉利学院冬季校园招聘,2021/12/30,126
44,格力电器2022届春季校园招聘提前批,2021/12/30,104
45,启明信息技术股份有限公司2022年校园招聘简章,2021/12/30,97
46,广东省智能科学与技术研究院2021年招聘公告,2021/12/30,79
47,航天行云（航天科工四院卫星总体单位）2022年度校园招聘,2021/12/29,342
48,西安电子科技大学期刊中心2022年其他专技岗位招聘公告,2021/12/29,165
49,重庆邮电大学2022年招聘启事,2021/12/29,135
50,中国热带农业科学院南亚热带作物研究所 湛江实验站2022年第一批公开招聘工作人员公告（第1号）,2021/12/29,59
51,深圳市坪山区科技创新局生物医药类专业特聘博士招聘公告,2021/12/29,57
52,清华大学材料课题组招聘热电/热障/结构陶瓷博士后,2021/12/29,53
53,中国热带农业科学院公开招聘公告,2021/12/29,44
54,山西医科大学刘鹏教授课题组招聘研究员、博士后、科研助理等研究人员,2021/12/29,48
55,山东省科技发展战略研究所2022年人才招聘,2021/12/29,53
56,西安电子科技大学空间科学与技术学院2021年教师岗位招聘启事,2021/12/29,68
57,海南医学院2021-2022学年博士及硕士高级职称人才公开招聘公告,2021/12/28,139
58,中国天辰工程有限公司2022年校园招聘,2021/12/28,146
59,武汉东湖学院高层次（高学历）人才招聘公告,2021/12/28,68
60,厦门工学院2022年海内外高层次人才招聘启事 ,2021/12/28,67
61,山东省科学院海洋仪器仪表研究所齐鲁工业大学（山东省科学院）海洋技术科学学院招聘信息,2021/12/28,58
62,苏州系统医学研究所2022年招聘,2021/12/28,82
63,江苏科技大学2022年诚聘海内外优秀人才,2021/12/28,87
64,中科南京智能技术研究院招聘简章,2021/12/28,72
65,中国铝业集团有限公司  2022年应届高校毕业生招聘公告,2021/12/28,76
66,长三角腹地-常州工学院2021年人才招聘启事,2021/12/27,104
67,浙江师范大学2021年专任教师招聘公告,2021/12/27,93
68,深圳大学广东省海洋藻类开发与应用工程重点实验室博士后招聘,2021/12/27,62
69,西南医科大学2022年诚聘海内外英才,2021/12/27,80
70,南方医科大学南方医院—杰青团队博士后招聘,2021/12/27,50
71,烟台东方威思顿电气有限公司2022届校园招聘简章,2021/12/27,70
72,中国科学院国家空间科学中心2022年应届生招聘启事,2021/12/27,103
73,中国科学院国家空间科学中心2022年特别研究助理招聘启事,2021/12/27,75
74,OPPO日常实习生招聘-应用测试实习生(成都）,2021/12/27,78
75,吉林外国语大学2022年面向海内外招聘人才公告,2021/12/26,78
76,中国水产科学研究院珠江水产研究所2022年公开招聘公告,2021/12/25,258
77,山东大学生态环境损害鉴定研究院2022年诚聘海内外优秀人才,2021/12/25,154
78,2022年杭州市钱塘区党政储备 人才招聘公告,2021/12/24,286
79,中国石油大学（北京）克拉玛依校区 2022年度招聘简章,2021/12/24,199
80,中关村发展集团2022年校园招聘及博士后招聘公告,2021/12/24,173
81,北京工业大学先进电池材料与器件研究所（尉海军教授课题组）2021-2022年人才招聘,2021/12/24,158
82,广东机电职业技术学院、广东省博士工作站2022年博士研究生招聘公告,2021/12/24,140
83,中国科学院长春应用化学研究所2022年度招聘启事,2021/12/24,123
84,南通大学电气工程学院诚聘海内外英才,2021/12/24,126
85,闽江学院2021下半年度高层次人才招聘公告,2021/12/24,115
86,河北农业大学2022年选聘博士公告,2021/12/24,115
87,深圳综合粒子设施研究院校园招聘公告,2021/12/24,130
88,仰恩大学2021年招聘启事,2021/12/24,138
89,南科大电子与电气工程系丛龙庆课题组高薪诚聘博士后,2021/12/24,117
90,中国电子科技集团公司第九研究所2021-2022年校园招聘,2021/12/23,471
91,中科院兰州化物所2022年人才招聘启事,2021/12/23,173
92,中山大学土木工程学院2021年诚聘海内外英才,2021/12/23,102
93,天津大学“生物信息测量与生物制造实验室”诚聘英才,2021/12/23,85
94,中共安徽省委党校（安徽行政学院） 2021年度公开招聘博士公告,2021/12/23,99
95,中国电子科技集团公司第十一研究所招聘,2021/12/23,157
96,南科大电子与电气工程系张宏课题组高薪诚聘博士后,2021/12/23,75
97,淮阴工学院2021年人才招聘政策及计划,2021/12/22,108
98,不负韶华 共筑梦想-枣庄学院2021年人才招聘启事,2021/12/22,96
99,中国船舶第八研究院（扬州院区·原七二三所）诚聘人才公告,2021/12/22,162
100,中铁信托博士后创新实践基地2022年招收博士后研究人员招收简章,2021/12/22,88
101,北京航空航天大学虚拟现实技术与系统国家重点实验室2021年专职工程师招聘公告,2021/12/22,114
102,嘉应学院2022年人才招聘启事,2021/12/22,69
103,重庆工程学院2022年高层次人才招聘简章,2021/12/22,96
104,重庆邮电大学2022年招聘启事,2021/12/22,105
105,中国热带农业科学院南亚热带作物研究所 湛江实验站 2022年第一批公开招聘工作人员公告（第1号）,2021/12/22,49
106,2021下半年浙江农林大学招聘公告,2021/12/22,50
107,材料科学姑苏实验室博士后招聘公告,2021/12/22,49
108,浙江大学王绪化团队招聘博士后和科研助理,2021/12/22,43
109,福建工程学院2022年师资招聘计划,2021/12/22,58
