序号,招聘主题,发布日期,浏览次数
1,湘潭大学2021年诚聘海内外人才,2022/1/4,529
2,释放5G，连接未来— 爱立信2022校园招聘,2022/1/4,493
3,济南量子技术研究院招聘公告,2022/1/4,455
4,广州中望龙腾软件股份有限公司2022届春季校园招聘简章,2022/1/4,440
5,拓维信息2022届校园招聘研后专场,2022/1/4,430
6,烟台东方威思顿电气有限公司2022届校园招聘简章,2022/1/4,414
7,四川轻化工大学2022年人才引进政策,2022/1/3,410
8,重庆对外经贸学院2021-2022学年人才招聘公告,2021/12/31,1674
9,读书郎教育科技有限公司,2021/12/31,958
10,浪潮集团2022届校园招聘秋招补招,2021/12/30,921
11,浙江大学机械设计研究所2021年招聘副研究员、博士后,2021/12/30,740
12,亚信科技人才引进,2021/12/30,712
13,中建三局安装工程有限公司,2021/12/30,672
14,广东省智能科学与技术研究院2021年招聘公告,2021/12/30,1572
15,Thoughtworks 中国区 2022 届校园招聘（补录场）,2021/12/30,1392
16,揽英才 金陵科技学院招才引智，诚邀您的加盟,2021/12/30,603
17,正大贸易（中国）有限公司,2021/12/29,498
18,北京爱万提斯科技有限公司,2021/12/29,483
19,清华大学天津高端装备研究院人才引进,2021/12/29,491
20,中国科学技术大学先进技术研究院2021-2022年度招聘简章,2021/12/29,1428
21,山东国瓷功能材料股份有限公司,2021/12/29,1340
22,长城软件2022校园招聘,2021/12/28,1247
23,烟台大学计算机与控制工程学院2022年招聘优秀人才,2021/12/28,1172
24,阳光电源首届冬令营招募啦,2021/12/28,8
25,山东电力设备有限公司2022届高校毕业生招聘,2021/12/28,1320
26,商业火箭技术公司【零壹空间】邀您来撩！,2021/12/27,1157
27,捷普2022校园招聘,2021/12/27,1154
28,中国人民解放军第五七二〇工厂2022年校园招聘,2021/12/27,1163
29,特法尔（北京）科技有限公司,2021/12/27,833
30,华芯巨数（杭州）微电子有限公司2022届招聘（秋季补招）工作地：杭州、武汉,2021/12/27,761
31,中国科学院国家空间科学中心2022年应届生招聘启事,2021/12/27,714
32,海康威视2022届营销技服类人才补录简章,2021/12/27,771
33,中国消防救援学院2022年度第一批公开招聘教师公告,2021/12/26,780
34,陕汽集团商用车有限公司,2021/12/25,724
35,泰山学院2022年人才引进不限专业,2021/12/24,666
36,“秋招倒计时”-谱育科技2022年校园招聘,2021/12/24,618
37,东风日产2022校园招聘简章,2021/12/24,623
38,宇通集团2022届管培生招聘,2021/12/24,825
39,海澜智云科技有限公司 2022届校园招聘,2021/12/24,804
40,中关村发展集团  2022年校园招聘及博士后招聘公告,2021/12/24,720
41,2022年空军工程大学直接选拔招录军官预告,2021/12/24,770
42,佛山市三水区2021年知名企业（单位）硕博人才空中双选会开启啦，高薪岗位值得你来！,2021/12/23,689
43,北京伏尔特技术有限公司,2021/12/23,685
44,中山大学土木工程学院2021年诚聘海内外英才,2021/12/23,660
45,天津大学“生物信息测量与生物制造实验室”诚聘英才,2021/12/23,668
46,正大贸易（中国）有限公司,2021/12/23,628
47,广州地铁设计研究院股份有限公司2022届校园招聘,2021/12/23,643
48,淮阴工学院2021年人才招聘政策及计划,2021/12/22,583
49,爱旭股份2022届校园招聘,2021/12/22,612
50,云南太古可口可乐2022届校园招聘简章,2021/12/22,582
51,中国网安（含中国电科三十所）2022届秋招补录,2021/12/22,674
52,德心智能科技（常州）有限公司,2021/12/22,575
53,深圳市矽赫科技有限公司,2021/12/22,578
54,吉首大学张家界学院2022年专任教师招聘公告,2021/12/22,554
55,福州大学博士后科研流动站2022年人才招聘计划,2021/12/21,536
56,北京汽车研究总院2022年校园招聘公告,2021/12/21,563
57,中国联通四川省分公司2021年（2022届）  秋季校园招聘公告（补录）,2021/12/21,580
58,【金融科技·创变未来】中金公司信息技术部2022届应届生专项招聘,2021/12/21,547
59,中山大学软件工程学院2022年高层次人才招聘启事,2021/12/21,524
60,中山大学微电子科学与技术学院人才招聘,2021/12/21,522
61,北京爱万提斯科技有限公司,2021/12/21,536
62,全球招聘！科学岛诚邀海内外人才加盟！,2021/12/20,521
63,“寻找十万伏特的你”——南孚2022校园招聘,2021/12/20,522
64,四川电子机械职业技术学院,2021/12/20,537
65,济宁医学院2021年招聘人才及青年博士公告,2021/12/20,542
66,中国联合网络通信有限公司东莞市分公司,2021/12/20,549
67,广西师范大学2021年人才招聘公告,2021/12/19,484
68,大连人才服务中心  “学子来连、业成滨城”2021-2022空中双选会邀请函,2021/12/19,503
69,江西软件职业技术大学2021年专任教师招聘公告,2021/12/17,466
70,南宁职业技术学院2021年第二批公开招聘工作人员公告,2021/12/17,478
71,包头市文化旅游广电局2021年直属单位人才引进公告,2021/12/17,479
72,大华股份2022届校招补招末班车,2021/12/17,537
73,行业第一，宇通集团2022年应届毕业生管培生招聘简章,2021/12/16,540
74,深圳大学-华中科技大学光子集成与光通信方向联合招聘博士后,2021/12/16,466
75,深圳报业集团2022年校园招聘,2021/12/16,497
76,东南大学脑科学与智能技术研究院招聘启事,2021/12/16,498
77,中信证券股份有限公司北京分公司,2021/12/15,469
78,广州敏视数码科技有限公司—招生简章,2021/12/15,511
79,上海人工智能实验室招聘公告,2021/12/15,544
80,深圳市创新投资集团有限公司（简称“深创投”）博士后工作站面向社会招收2022级博士研究生,2021/12/15,497
81,山东电力设备有限公司2022届高校毕业生招聘,2021/12/14,522
82,中国石化上海石油化工研究院2021-2022年度人才招聘,2021/12/14,495
83,上海仪准电子科技有限公司诚聘,2021/12/14,493
84,宁波市特种设备检验研究院2021年诚聘2名高层次人才,2021/12/14,469
85,山西工商学院2022年人才引进公告,2021/12/14,614
86,南方科技大学计算机科学与工程系2022年实验教学人员招聘启事,2021/12/14,521
87,中国农业银行研发中心2022年秋季校园招聘,2021/12/14,609
88,山东产研微电子技术研究院有限公司,2021/12/14,520
89,燕山大学2021-2022年诚聘海内外优秀人才,2021/12/13,511
90,西安西补教育培训学校有限责任公司,2021/12/13,522
