序号,招聘主题,雇主类型,学校,浏览次数
0,四川轻化工大学2022年人才引进政策,研究学院,北邮,907
1,重磅来袭，百万揽才｜巢湖学院2021-2022年人才引进公告,研究学院,北邮,484
2,国家国防科技工业局军工项目审核中心公开招聘,信息科技,北邮,469
3,航天三院三〇四所2022年校园招聘,航天,北邮,2066
4,深圳前海麦格美科技有限公司2022管培生招聘,信息科技,北邮,1462
5,2022极米科技春季招聘提前批-招聘简章及岗位详情,信息科技,北邮,1338
6,常州工学院2021-2022年人才招聘启事,研究学院,北邮,1252
7,浙江大学杭州国际科创中心先进储能技术课题组2022年博士后招聘公告,研究学院,北邮,1856
8,武汉东湖学院马克思主义学院教师招聘,研究学院,北邮,1479
9,2021-2022零点有数校园招聘火热开启,其他,北邮,1422
10,广西师范大学2021年高层次人才招聘公告,研究学院,北邮,1400
11,青岛鼎信通讯 2022 届秋季校园招聘,其他,北邮,1376
12,“安装星 星未来” 中建三局安装工程有限公司（中建三局智慧事业部）2022校园招聘,其他,北邮,1393
13,极米2022届春季校园招聘,其他,北邮,1359
14,电学专利代理人,其他,北邮,1347
15,诚壹资本招聘投资助理,其他,北邮,1420
16,深部岩土力学与地下工程国家重点实验室面向海内外诚聘博士后研究人员,国企,北邮,1125
17,长城软件2022校园招聘,其他,北邮,1110
18,中信证券北京分公司2022年校园招聘火热进行中,金融,北邮,975
19,青春韶华 腾飞起航 | 中国华腾2022年度招聘正式启动,航天,北邮,1543
20,推想-与AI同行 推想未来,其他,北邮,1219
21,西南医科大学2022年诚聘海内外英才,研究学院,北邮,1159
22,浙江新安化工集团股份有限公司2022届校园招聘,其他,北邮,1078
23,中国天辰工程有限公司2022年校园招聘,其他,北邮,1090
24,亚信科技招聘简章,信息科技,北邮,1077
25,招商证券股份有限公司北京朝阳公园路证券营业部【招聘】,金融,北邮,1063
26,揽英才 金陵科技学院招才引智，诚邀您的加盟,研究学院,北邮,1183
27,麦捷科技2022年校园招聘简章,信息科技,北邮,1152
28,启明信息技术股份有限公司2022年校园招聘简章,信息科技,北邮,2129
29,清华大学天津高端装备研究院人才引进,研究学院,北邮,1781
30,你和我的距离只有一封简历的厚度,其他,北邮,1806
31,中证信息技术服务有限责任公司 2021年度招聘公告,信息科技,北邮,1738
32,中国科学技术大学先进技术研究院2021-2022年度招聘简章,研究学院,北邮,1779
33,阳光电源2022届全球校园招聘秋招补录,其他,北邮,1634
34,中国卫通集团股份有限公司招聘,其他,北邮,1408
35,西安电子科技大学空间科学与技术学院2021年教师岗位招聘启事,研究学院,北邮,1371
36,中国热带农业科学院热带作物品种资源研究所2022年高层次及博士人才公开招聘公告,研究学院,北邮,1324
37,中国供销集团2022年度应届高校毕业生招聘公告,其他,北邮,1349
38,华夏久盈资产管理有限责任公司2022校园招聘,其他,北邮,1306
39,中国搜索2022年校园招聘简章,其他,北邮,1306
40,深圳市大数据研究院科研人员招聘简章,其他,北邮,1461
41,九江学院2022年人才招聘公告,研究学院,北邮,1376
42,恒上咨询代宽带资本旗下云天使基金投资经理,其他,北邮,1595
43,宁波工程学院2021年高层次人才（教师）招聘公告,研究学院,北邮,1202
44,长三角腹地-常州工学院2021年人才招聘启事,研究学院,北邮,1059
